traj_for_agg,mu_d_raw_hh,mu_d_ster
-1,10.30409699265465,
1,10.18405753411047,9.340449170872974
2,10.18096237925137,9.364702964999266
3,10.40282996251033,9.449704088663275
4,10.14270886960237,9.474421956730696
5,10.28803814782037,9.153445037253865
6,10.62166404724121,8.997342543943361
7,10.93340301513672,9.6794970729716
8,9.814527940932818,9.252219807084487
9,10.54986632953991,9.363107322164193
10,10.49208793640137,9.586020589121851
11,11.30837553197687,10.12684457978704
12,10.67646980285645,9.678477432181175
13,10.7360846091961,9.385404462423622
14,,
