traj_for_agg,n_pids,dbar_d,dbar0_d,pi_d
-1,14889,.3431840070576302,.306736516891665,.5840885018241733
1,6937,0,0,.2721352634263073
2,411,.25,0,.0161233376485819
3,65,.25,0,.0025499195794594
4,230,.5,0,.0090227923580872
5,9,.25,0,.0003530657879252
6,1,.5,0,.0000392295319917
7,1,.5,0,.0000392295319917
8,261,.75,0,.0102389078498294
9,11,.25,1,.0004315248519085
10,5,.75,1,.0001961476599584
11,11,.5,1,.0004315248519085
12,8,.75,1,.0003138362559335
13,58,.75,1,.0022753128555176
14,2594,1,1,.1017614059864266
