trajectory,delta_d_lcafit_point
2,.0671664567762617
3,-.0536851188095364
4,.0800007518927246
5,-.0014383953426126
6,.1392457320155208
7,.1764939137873552
8,.0583776998003873
9,.1136610851129915
10,.0710289785286466
11,-.4474897404636041
12,-.0267798282344904
13,.1797160676375392
14,.2367387395006665
15,.0527614438831273
16,.0445971820359777
17,.0282720205183218
18,-.0221686392466854
19,.090776589780854
20,.0541374636043737
21,.0839622079039503
22,-.1651916973089604
23,.0442799248176525
24,-.0321356039147658
25,-.0233326746689805
26,.0388975417791051
27,-.1798500236682445
28,-.0543274361116396
29,.0209466106456
30,-.0929368133011901
31,-.0559020388217864
