traj_for_agg,mu_d_raw_hh,mu_d_ster
-1,11.89287661472039,
1,11.82878811600316,10.51395672923769
2,11.72740564038677,10.52022375940447
3,12.01576792110096,10.73781866860164
4,11.63659261714267,10.49809041492703
5,12.03893260955811,10.64778957982173
6,11.67767150061471,10.38022434344204
7,11.99323385412043,10.3232019919107
8,11.67336380953169,10.54184530022752
9,11.86665591678104,10.41964248078291
10,11.79859781265259,10.5139383045316
12,11.89843504769462,10.6985585666726
13,11.63543605804443,10.29092120442554
14,11.50205251905653,10.19648010443094
16,11.5329317842211,10.56297587740098
17,12.02833118438721,10.59542284081974
18,11.92544716596603,10.69106768976613
20,11.86816754548446,10.54223993430813
21,12.09484068552653,10.48572473730652
22,12.3561635698591,10.9690455272976
23,12.15076370239258,10.56249799660458
24,11.97024492559762,10.71166153843727
25,12.2502635887691,10.6917482508954
26,12.04352344166149,10.6044959310277
28,12.17727881983707,10.77175976552071
29,12.36242316319392,10.57849575365863
30,12.44195526402171,10.8275615014824
31,12.85042270861174,10.79927635360247
32,,
