traj_for_agg,n_pids,dbar_d,dbar0_d,pi_d
-1,26408,.4806087815068195,.4363071796425326,.8893978175939647
1,1158,0,0,.0390004041492658
2,220,.2006818211214109,0,.0074094032062508
3,23,.1913043506767439,0,.000774619426108
4,178,.3991573092977652,0,.0059948807759666
5,15,.2000000029802322,0,.0005051865822444
6,14,.4000000059604645,0,.0004715074767614
7,12,.4083333387970924,0,.0004041492657955
8,178,.5994382259551059,0,.0059948807759666
9,39,.2025641053915024,0,.0013134851138354
10,8,.4000000059604645,0,.0002694328438637
11,1,.4000000059604645,0,.000033679105483
12,21,.6000000238418579,0,.0007072612151421
13,19,.4052631635414927,0,.0006399030041762
14,9,.6000000238418579,0,.0003031119493466
15,5,.5800000190734863,0,.0001683955274148
16,140,.800000011920929,0,.0047150747676142
17,55,.2000000029802322,1,.0018523508015627
18,16,.4000000059604645,1,.0005388656877273
19,4,.4000000059604645,1,.0001347164219318
20,47,.6031915126962865,1,.001582917957699
21,6,.4000000059604645,1,.0002020746328978
22,7,.6000000238418579,1,.0002357537383807
23,5,.6000000238418579,1,.0001683955274148
24,116,.800000011920929,1,.0039067762360232
25,28,.4000000059604645,1,.0009430149535228
26,12,.6125000218550364,1,.0004041492657955
27,3,.6000000238418579,1,.0001010373164489
28,58,.7991379427498785,1,.0019533881180116
29,27,.5962963192551224,1,.0009093358480399
30,41,.800000011920929,1,.0013808433248013
31,20,.7975000113248825,1,.0006735821096592
32,799,1,1,.0269096052808837
