country,spec,delta,point,se
IDN,covs_0,never,.3044009000912821,.0539355333421774
IDN,covs_0,avg,.3810668446462184,.0232996302647391
IDN,covs_0,always,.4599180190678719,.0412476390309238
IDN,covs_trend,never,.0863291372678291,.0208909459931747
IDN,covs_trend,avg,.0405190501454089,.0163072071680046
IDN,covs_trend,always,-.0526370619953694,.0423803922475714
IDN,covs_1,never,.0864666946862181,.020872846689024
IDN,covs_1,avg,.0405866720683987,.0163062451827189
IDN,covs_1,always,-.0528119870202492,.042351527794941
IDN,covs_2,never,.0913750053006115,.0207327568497386
IDN,covs_2,avg,.0446187132479942,.016310034233236
IDN,covs_2,always,-.0526333996904985,.0429530653778403
IDN,covs_all,never,.0714677765006221,.0176172061882453
IDN,covs_all,avg,.03761793822422,.0161614024343907
IDN,covs_all,always,-.0964009239754523,.0614259113280614
CHN,covs_0,never,.4239654989376396,.020781853235738
CHN,covs_0,avg,.4717379427985703,.0212036996599179
CHN,covs_0,always,-.1085692110235787,.3982391585466677
CHN,covs_trend,never,.0898163656040892,.0281233188179792
CHN,covs_trend,avg,.0806665376099655,.0208533417173044
CHN,covs_trend,always,.0588387110662546,.0459071152357027
CHN,covs_1,never,.0898163592419325,.0281148057936783
CHN,covs_1,avg,.0806629904090172,.0208533185610874
CHN,covs_1,always,.0588288717954752,.0458778537475615
CHN,covs_2,never,.1040594618431757,.0230322911025801
CHN,covs_2,avg,.0911422850620245,.0208969784862106
CHN,covs_2,always,.0315587886377624,.0535419643757455
CHN,covs_all,never,.0979324974967014,.0206610572597748
CHN,covs_all,avg,.0900385984633068,.0208639947764969
CHN,covs_all,always,.0329870066793145,.0498245808368756
TZA,covs_0,never,.5388091759390597,.0355687978177845
TZA,covs_0,avg,.0853743974460346,.0147944178088829
TZA,covs_0,always,-138.5785577542026,5950.885788566799
TZA,covs_trend,never,.3008372345500631,.0393342592908198
TZA,covs_trend,avg,.1022112742611311,.0144364378884372
TZA,covs_trend,always,-.2622275101308432,.1327849565562852
TZA,covs_1,never,.3040447284142547,.0394930428857658
TZA,covs_1,avg,.1023515350197131,.0144314132884076
TZA,covs_1,always,-.2734562811053978,.1377632284412417
TZA,covs_2,never,.3013394300219286,.0387343889934475
TZA,covs_2,avg,.1025076791805745,.0144376478278519
TZA,covs_2,always,-.2886409837607958,.1460975550893036
TZA,covs_all,never,.26988591565384,.0334449949637839
TZA,covs_all,avg,.1058387668320802,.0144948712181002
TZA,covs_all,always,-.6622157415154941,.4690457767220043
