country,spec,delta,stata_pt,stata_se,stata_ci95_lo,stata_ci95_hi,md_d_at_min,md_wald_min,md_hull_ci95_lo,md_hull_ci95_hi,md_islands,md_n_islands,md_grid_lo,md_grid_hi
IDN,covs_0,never,0.3044009000912821,0.0539355333421774,0.19868725474061444,0.4101145454419498,0.3300000000000016,123.62255205309333,,,empty,0,-1.5,1.5000000000000027
IDN,covs_0,avg,0.3810668446462184,0.0232996302647391,0.3353995693273297,0.426734119965107,0.37000000000000166,123.65345440845374,,,empty,0,-1.5,1.5000000000000027
IDN,covs_0,always,0.4599180190678719,0.0412476390309238,0.37907264656726125,0.5407633915684825,0.43999999999988404,123.66301385289292,,,empty,0,-5.0,4.999999999999787
IDN,covs_trend,never,0.0863291372678291,0.0208909459931747,0.045382883121206696,0.12727539141445152,0.09000000000000141,32.91108570888703,0.04000000000000137,0.15000000000000147,"[+0.040, +0.150]",1,-1.5,1.5000000000000027
IDN,covs_trend,avg,0.0405190501454089,0.0163072071680046,0.008556924096119883,0.07248117619469792,0.04000000000000137,32.91248158953447,1.3322676295501878e-15,0.0700000000000014,"[+0.000, +0.070]",1,-1.5,1.5000000000000027
IDN,covs_trend,always,-0.0526370619953694,0.0423803922475714,-0.13570263080060935,0.03042850680987054,-0.08000000000010488,32.90690187493939,-0.32000000000009976,0.019999999999892992,"[-0.320, +0.020]",1,-5.0,4.999999999999787
IDN,covs_1,never,0.0864666946862181,0.020872846689024,0.045555915175731064,0.12737747419670514,0.09000000000000141,32.84028131201968,0.04000000000000137,0.15000000000000147,"[+0.040, +0.150]",1,-1.5,1.5000000000000027
IDN,covs_1,avg,0.0405866720683987,0.0163062451827189,0.008626431510269657,0.07254691262652774,0.04000000000000137,32.84063839246102,1.3322676295501878e-15,0.0700000000000014,"[+0.000, +0.070]",1,-1.5,1.5000000000000027
IDN,covs_1,always,-0.0528119870202492,0.042351527794941,-0.13582098149833358,0.030197007457835164,-0.08000000000010488,32.83542881129925,-0.32000000000009976,0.019999999999892992,"[-0.320, +0.020]",1,-5.0,4.999999999999787
IDN,covs_2,never,0.0913750053006115,0.0207327568497386,0.05073880187512385,0.13201120872609917,0.10000000000000142,33.839485010614304,0.05000000000000138,0.15000000000000147,"[+0.050, +0.150]",1,-1.5,1.5000000000000027
IDN,covs_2,avg,0.0446187132479942,0.016310034233236,0.012651046150851636,0.07658638034513676,0.04000000000000137,33.84077840866316,0.010000000000001341,0.0700000000000014,"[+0.010, +0.070]",1,-1.5,1.5000000000000027
IDN,covs_2,always,-0.0526333996904985,0.0429530653778403,-0.1368214078310655,0.03155460845006848,-0.08000000000010488,33.83608025440701,-0.3000000000001002,0.019999999999892992,"[-0.300, +0.020]",1,-5.0,4.999999999999787
IDN,covs_all,never,0.0714677765006221,0.0176172061882453,0.036938052371661305,0.10599750062958288,0.0700000000000014,26.533800038538924,0.010000000000001341,0.15000000000000147,"[+0.010, +0.150]",1,-1.5,1.5000000000000027
IDN,covs_all,avg,0.03761793822422,0.0161614024343907,0.005941589452814235,0.06929428699562576,0.04000000000000137,26.56118946383936,-0.019999999999998685,0.09000000000000141,"[-0.020, +0.090]",1,-1.5,1.5000000000000027
IDN,covs_all,always,-0.0964009239754523,0.0614259113280614,-0.21679571017845264,0.02399386222754804,-0.1400000000001036,26.50816843561248,-5.0,4.999999999999787,"[-inf, +0.040] U [+0.660, +inf]",2,-5.0,4.999999999999787
CHN,covs_0,never,0.4239654989376396,0.020781853235738,0.3832330665955931,0.46469793127968606,0.4100000000000017,120.10888174993794,,,empty,0,-1.5,1.5000000000000027
CHN,covs_0,avg,0.4717379427985703,0.0212036996599179,0.4301786914651312,0.5132971941320094,0.46000000000000174,120.12010871666554,,,empty,0,-1.5,1.5000000000000027
CHN,covs_0,always,-0.1085692110235787,0.3982391585466677,-0.8891179617750473,0.67197953972789,2.279999999999845,120.09102873826583,,,empty,0,-5.0,4.999999999999787
CHN,covs_trend,never,0.0898163656040892,0.0281233188179792,0.03469466072084997,0.14493807048732843,0.11000000000000143,22.007729116700837,,,empty,0,-1.5,1.5000000000000027
CHN,covs_trend,avg,0.0806665376099655,0.0208533417173044,0.03979398784404888,0.12153908737588212,0.0800000000000014,22.006173026098544,,,empty,0,-1.5,1.5000000000000027
CHN,covs_trend,always,0.0588387110662546,0.0459071152357027,-0.031139234795722684,0.14881665692823187,-1.0658141036401503e-13,22.03711796944628,,,empty,0,-5.0,4.999999999999787
