country,spec,max_p,phi_at_max_p,min_wald,phi_at_min_wald,n_islands_95,islands_95,n_islands_90,islands_90
IDN,covs_0,1.1435297153639112e-14,-2.3300000000000143,123.62033719133687,-2.3100000000000147,0,empty,0,empty
IDN,covs_trend,0.1650755218830291,-0.37000000000005606,32.89807891740029,-0.37000000000005606,1,"[-0.640, -0.070]",1,"[-0.540, -0.190]"
IDN,covs_1,0.16717200753768147,-0.37000000000005606,32.82715072377652,-0.37000000000005606,1,"[-0.640, -0.070]",1,"[-0.540, -0.180]"
IDN,covs_2,0.13945514537998815,-0.38000000000005585,33.82624329615019,-0.38000000000005585,1,"[-0.630, -0.110]",1,"[-0.520, -0.240]"
IDN,covs_all,0.43599571042685437,-0.6000000000000512,26.498262502986794,-0.6000000000000512,1,"[-1.230, -0.010]",1,"[-1.090, -0.140]"
CHN,covs_0,0.0,-3.0,120.09094965985167,-1.0400000000000418,0,empty,0,empty
CHN,covs_trend,0.008859501783328838,-0.24000000000005883,22.00615158311649,-0.24000000000005883,0,empty,0,empty
CHN,covs_1,0.008859718139381467,-0.24000000000005883,22.006083174002224,-0.24000000000005883,0,empty,0,empty
CHN,covs_2,0.008806732016440777,-0.280000000000058,22.022884574153093,-0.280000000000058,0,empty,0,empty
CHN,covs_all,0.016951486020628792,-0.3300000000000569,20.159789985930477,-0.3300000000000569,0,empty,0,empty
TZA,covs_0,0.0147817446653693,-1.3000000000000362,12.373154716970438,-1.3000000000000362,0,empty,0,empty
TZA,covs_trend,0.12132733748040692,-0.5500000000000522,7.290138877876521,-0.5500000000000522,1,"[-0.700, -0.410]",1,"[-0.610, -0.490]"
TZA,covs_1,0.12994508772354407,-0.560000000000052,7.114788740029878,-0.560000000000052,1,"[-0.710, -0.410]",1,"[-0.630, -0.480]"
TZA,covs_2,0.12059069833662595,-0.5700000000000518,7.305656847469891,-0.5700000000000518,1,"[-0.720, -0.430]",1,"[-0.640, -0.510]"
TZA,covs_all,0.4033701134721137,-0.7300000000000484,4.0195232471932885,-0.7300000000000484,1,"[-1.220, -0.450]",1,"[-1.100, -0.500]"
