country,spec,n_obs,n_clusters,J_R,gmm_phi,gmm_se,gmm_J_p,gmm_converged,gmm_ci90_lo,gmm_ci90_hi,gmm_ci95_lo,gmm_ci95_hi,inv_wald_min,inv_phi_at_waldmin,inv_ci90_lo,inv_ci90_hi,inv_ci95_lo,inv_ci95_hi
IDN,covs_0,92450,29697,26,-2.445469542620093,0.0704574065695312,0.0,True,-2.561371976426972,-2.329567108813214,-2.5835660594963743,-2.3073730257438116,123.62033719133687,-2.3100000000000147,,,,
IDN,covs_trend,92450,29697,26,-0.3094751023530654,0.0870241859365882,0.214,True,-0.452629888218753,-0.16632031648737783,-0.48004250678877824,-0.13890769791735255,32.89807891740029,-0.37000000000005606,-0.5400000000000524,-0.1900000000000599,-0.6400000000000503,-0.07000000000006246
IDN,covs_1,92439,29692,26,-0.3097895414424325,0.0867682026200839,0.216,True,-0.45252323475247047,-0.16705584813239446,-0.4798552185777969,-0.13972386430706804,32.82715072377652,-0.37000000000005606,-0.5400000000000524,-0.1800000000000601,-0.6400000000000503,-0.07000000000006246
IDN,covs_2,92439,29692,26,-0.3208208549002495,0.0861823588237563,0.187,True,-0.4625908351653286,-0.17905087463517036,-0.48973827819481186,-0.15190343160568712,33.82624329615019,-0.38000000000005585,-0.5200000000000529,-0.24000000000005883,-0.6300000000000505,-0.1100000000000616
IDN,covs_all,92439,29692,26,-0.5256257839300001,0.1018488041746899,0.403,True,-0.6931670667973651,-0.35808450106263523,-0.7252494401123923,-0.32600212774760795,26.498262502986794,-0.6000000000000512,-1.0900000000000407,-0.14000000000006096,-1.2300000000000377,-0.010000000000063736
CHN,covs_0,109535,34746,9,-0.8975059138956505,0.0562118095133528,0.0,True,-0.9899743405451158,-0.8050374872461852,-1.007681060541822,-0.787330767249479,120.09094965985167,-1.0400000000000418,,,,
CHN,covs_trend,109535,34746,9,-0.0727305394379129,0.1344486048668558,0.029,True,-0.2938984944438907,0.1484374155680649,-0.3362498049769503,0.19078872610112446,22.00615158311649,-0.24000000000005883,,,,
CHN,covs_1,109535,34746,9,-0.0727629607531192,0.1343625187154002,0.029,True,-0.2937893040399525,0.14826338253371413,-0.3361134974353036,0.1905875759290652,22.006083174002224,-0.24000000000005883,,,,
CHN,covs_2,109535,34746,9,-0.1606168412126903,0.1172385217315449,0.019,True,-0.35347420946108166,0.03224052703570107,-0.39040434380651834,0.06917066138113773,22.022884574153093,-0.280000000000058,,,,
CHN,covs_all,109535,34746,9,-0.20469001036356,0.1335967208801854,0.025,True,-0.42445661621146497,0.015076595484344979,-0.46653958328872336,0.05715956256160337,20.159789985930477,-0.3300000000000569,,,,
TZA,covs_0,29864,11012,4,-0.9984977927154336,0.0643790856824443,0.0,False,-1.1044013886630544,-0.8925941967678127,-1.1246808006530244,-0.8723147847778427,12.373154716970438,-1.3000000000000362,,,,
TZA,covs_trend,29864,11012,4,-0.514977367057874,0.0911117443220168,0.084,True,-0.6648561864675917,-0.36509854764815636,-0.6935563859290269,-0.3363983481867211,7.290138877876521,-0.5500000000000522,-0.610000000000051,-0.4900000000000535,-0.700000000000049,-0.4100000000000552
TZA,covs_1,29864,11012,4,-0.5227347619246775,0.0915602201066529,0.089,True,-0.6733513240001215,-0.37211819984923344,-0.7021927933337172,-0.3432767305156378,7.114788740029878,-0.560000000000052,-0.6300000000000505,-0.4800000000000537,-0.7100000000000488,-0.4100000000000552
TZA,covs_2,29864,11012,4,-0.5337428582419165,0.0929622359304642,0.084,True,-0.6866657363475301,-0.38081998013630286,-0.7159488406656263,-0.35153687581820664,7.305656847469891,-0.5700000000000518,-0.6400000000000503,-0.5100000000000531,-0.7200000000000486,-0.4300000000000548
TZA,covs_all,29864,11012,4,-0.7190333696409438,0.1242771885593739,0.28,True,-0.9234693448211139,-0.5145973944607737,-0.9626166592173167,-0.4754500800645709,4.0195232471932885,-0.7300000000000484,-1.1000000000000405,-0.5000000000000533,-1.220000000000038,-0.45000000000005436
