spec,delta,stata_pt,stata_se,md_inv_d_min,md_inv_ci95_lo,md_inv_ci95_hi
covs_0,never,0.3044009000912821,0.0539355333421774,0.3300000000000016,,
covs_0,avg,0.3810668446462184,0.0232996302647391,0.37000000000000166,,
covs_0,always,0.4599180190678719,0.0412476390309238,0.45000000000000173,,
covs_trend,never,0.0863291372678291,0.0208909459931747,0.09000000000000141,0.04000000000000137,0.15000000000000147
covs_trend,avg,0.0405190501454089,0.0163072071680046,0.04000000000000137,1.3322676295501878e-15,0.0700000000000014
covs_trend,always,-0.0526370619953694,0.0423803922475714,-0.07999999999999874,-0.32999999999999896,0.02000000000000135
covs_1,never,0.0864666946862181,0.020872846689024,0.09000000000000141,0.04000000000000137,0.15000000000000147
covs_1,avg,0.0405866720683987,0.0163062451827189,0.04000000000000137,1.3322676295501878e-15,0.0700000000000014
covs_1,always,-0.0528119870202492,0.042351527794941,-0.07999999999999874,-0.32999999999999896,0.03000000000000136
covs_2,never,0.0913750053006115,0.0207327568497386,0.10000000000000142,0.05000000000000138,0.15000000000000147
covs_2,avg,0.0446187132479942,0.016310034233236,0.04000000000000137,0.010000000000001341,0.0700000000000014
covs_2,always,-0.0526333996904985,0.0429530653778403,-0.07999999999999874,-0.30999999999999894,0.02000000000000135
covs_all,never,0.0714677765006221,0.0176172061882453,0.0700000000000014,0.010000000000001341,0.15000000000000147
covs_all,avg,0.03761793822422,0.0161614024343907,0.04000000000000137,-0.019999999999998685,0.09000000000000141
covs_all,always,-0.0964009239754523,0.0614259113280614,-0.1499999999999988,-1.5,1.5000000000000027
