seed,K,phi_lo,phi_hi,phi_cov,phi_n_islands,n_lo,n_hi,n_cov,n_n_islands,a_lo,a_hi,a_cov,a_n_islands,a_target,t_lo,t_hi,t_cov,t_n_islands
2000,6,-0.6399999999999979,-0.4199999999999977,True,1,0.07000000000000095,0.17000000000000104,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.39000000000005564,-0.17000000000006033,True,1
2001,6,-0.5399999999999978,-0.3799999999999977,True,1,0.040000000000000924,0.120000000000001,True,1,-0.1049999999999992,-0.07499999999999918,True,1,-0.0767857142857143,-0.31000000000005734,-0.1900000000000599,True,1
2002,6,-0.5999999999999979,-0.3199999999999976,True,1,0.030000000000000915,0.1450000000000009,True,1,-0.0949999999999992,-0.05499999999999916,True,1,-0.0767857142857143,-0.3300000000000569,-0.14000000000006096,True,1
2003,6,-0.5999999999999979,-0.3199999999999976,True,1,0.040000000000000924,0.15500000000000114,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.30000000000005755,-0.13000000000006118,True,1
2004,6,-0.6399999999999979,-0.4199999999999977,True,1,0.06500000000000083,0.15500000000000114,True,1,-0.0999999999999992,-0.06999999999999917,True,1,-0.0767857142857143,-0.4000000000000554,-0.20000000000005969,True,1
2005,6,-0.6399999999999979,-0.4199999999999977,True,1,0.05000000000000093,0.15500000000000114,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.44000000000005457,-0.20000000000005969,True,1
2006,6,-0.5799999999999979,-0.3999999999999977,True,1,0.06000000000000094,0.140000000000001,True,1,-0.08499999999999919,-0.059999999999999165,True,1,-0.0767857142857143,-0.3300000000000569,-0.17000000000006033,True,1
2007,6,,,False,0,,,False,0,,,False,0,-0.0767857142857143,,,False,0
2008,6,-0.5999999999999979,-0.4399999999999977,True,1,0.06500000000000083,0.13500000000000112,True,1,-0.08999999999999919,-0.06999999999999917,True,1,-0.0767857142857143,-0.3500000000000565,-0.21000000000005947,True,1
2009,6,-0.6399999999999979,-0.3999999999999977,True,1,0.05500000000000105,0.16000000000000103,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.38000000000005585,-0.16000000000006054,True,1
2010,6,-0.5399999999999978,-0.4399999999999977,True,1,0.07000000000000095,0.1150000000000011,True,1,-0.07999999999999918,-0.06499999999999917,True,1,-0.0767857142857143,-0.280000000000058,-0.1900000000000599,True,1
2011,6,-0.6199999999999979,-0.35999999999999766,True,1,0.030000000000000915,0.140000000000001,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.44000000000005457,-0.1900000000000599,True,1
2012,6,-0.6599999999999979,-0.3799999999999977,True,1,0.05500000000000105,0.17000000000000104,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.4100000000000552,-0.17000000000006033,True,1
2013,6,-0.6599999999999979,-0.4399999999999977,True,1,0.06500000000000083,0.15000000000000102,True,1,-0.08999999999999919,-0.06499999999999917,True,1,-0.0767857142857143,-0.420000000000055,-0.20000000000005969,True,1
2014,6,-0.5799999999999979,-0.33999999999999764,True,1,0.0250000000000008,0.120000000000001,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.38000000000005585,-0.1800000000000601,True,1
2015,6,-0.6599999999999979,-0.3799999999999977,True,1,0.040000000000000924,0.15000000000000102,True,1,-0.0949999999999992,-0.05499999999999916,True,1,-0.0767857142857143,-0.4300000000000548,-0.17000000000006033,True,1
2016,6,-0.5999999999999979,-0.3999999999999977,True,1,0.07000000000000095,0.15500000000000114,True,1,-0.08999999999999919,-0.059999999999999165,True,1,-0.0767857142857143,-0.3400000000000567,-0.1800000000000601,True,1
2017,6,-0.6399999999999979,-0.3999999999999977,True,1,0.04500000000000082,0.15000000000000102,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.4100000000000552,-0.1800000000000601,True,1
2018,6,-0.6399999999999979,-0.4199999999999977,True,1,0.040000000000000924,0.140000000000001,True,1,-0.11499999999999921,-0.07999999999999918,False,1,-0.0767857142857143,-0.46000000000005414,-0.22000000000005926,True,1
2019,6,-0.739999999999998,-0.3999999999999977,True,1,0.040000000000000924,0.17500000000000115,True,1,-0.0999999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.6000000000000512,-0.1800000000000601,True,1
2020,6,-0.6199999999999979,-0.3799999999999977,True,1,0.05500000000000105,0.16000000000000103,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.37000000000005606,-0.17000000000006033,True,1
2021,6,-0.6799999999999979,-0.3799999999999977,True,1,0.05500000000000105,0.18000000000000105,True,1,-0.08999999999999919,-0.049999999999999156,True,1,-0.0767857142857143,-0.45000000000005436,-0.16000000000006054,True,1
2022,6,-0.5599999999999978,-0.35999999999999766,True,1,0.030000000000000915,0.11000000000000099,True,1,-0.0999999999999992,-0.07499999999999918,True,1,-0.0767857142857143,-0.3500000000000565,-0.1900000000000599,True,1
2023,6,-0.47999999999999776,-0.3799999999999977,False,1,0.04500000000000082,0.09500000000000108,False,1,-0.08499999999999919,-0.06999999999999917,True,1,-0.0767857142857143,-0.2500000000000586,-0.1800000000000601,True,1
2024,6,-0.699999999999998,-0.4399999999999977,True,1,0.06500000000000083,0.17500000000000115,True,1,-0.1049999999999992,-0.07499999999999918,True,1,-0.0767857142857143,-0.5400000000000524,-0.22000000000005926,True,1
2025,6,-0.6199999999999979,-0.3999999999999977,True,1,0.05000000000000093,0.1450000000000009,True,1,-0.0949999999999992,-0.06999999999999917,True,1,-0.0767857142857143,-0.4100000000000552,-0.20000000000005969,True,1
2026,6,-0.5999999999999979,-0.35999999999999766,True,1,0.05000000000000093,0.15500000000000114,True,1,-0.0949999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.3200000000000571,-0.16000000000006054,True,1
2027,6,-0.5599999999999978,-0.3799999999999977,True,1,0.04500000000000082,0.120000000000001,True,1,-0.0999999999999992,-0.06999999999999917,True,1,-0.0767857142857143,-0.3300000000000569,-0.1900000000000599,True,1
2028,6,-0.5199999999999978,-0.33999999999999764,True,1,0.03500000000000103,0.1150000000000011,True,1,-0.08999999999999919,-0.06499999999999917,True,1,-0.0767857142857143,-0.2700000000000582,-0.16000000000006054,True,1
2029,6,-0.6399999999999979,-0.3799999999999977,True,1,0.06000000000000094,0.18500000000000094,True,1,-0.0949999999999992,-0.05499999999999916,True,1,-0.0767857142857143,-0.3600000000000563,-0.15000000000006075,True,1
2030,6,-0.699999999999998,-0.4199999999999977,True,1,0.09000000000000097,0.22000000000000108,True,1,-0.0949999999999992,-0.05499999999999916,True,1,-0.0767857142857143,-0.39000000000005564,-0.16000000000006054,True,1
2031,6,-0.5199999999999978,-0.2999999999999976,True,1,0.015000000000001013,0.10500000000000087,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.30000000000005755,-0.15000000000006075,True,1
2032,6,-0.739999999999998,-0.3999999999999977,True,1,0.05500000000000105,0.20500000000000096,True,1,-0.0999999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.5500000000000522,-0.1800000000000601,True,1
2033,6,-0.6799999999999979,-0.3999999999999977,True,1,0.05500000000000105,0.17000000000000104,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.4300000000000548,-0.17000000000006033,True,1
2034,6,-0.699999999999998,-0.4199999999999977,True,1,0.06500000000000083,0.18000000000000105,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.4800000000000537,-0.17000000000006033,True,1
2035,6,-0.5999999999999979,-0.45999999999999774,True,1,0.06000000000000094,0.1250000000000009,True,1,-0.0949999999999992,-0.06999999999999917,True,1,-0.0767857142857143,-0.37000000000005606,-0.23000000000005905,True,1
2036,6,-0.5399999999999978,-0.35999999999999766,True,1,0.04500000000000082,0.130000000000001,True,1,-0.08999999999999919,-0.059999999999999165,True,1,-0.0767857142857143,-0.30000000000005755,-0.17000000000006033,True,1
2037,6,-0.6599999999999979,-0.3799999999999977,True,1,0.06000000000000094,0.17500000000000115,True,1,-0.08499999999999919,-0.049999999999999156,True,1,-0.0767857142857143,-0.4300000000000548,-0.17000000000006033,True,1
2038,6,-0.6599999999999979,-0.3999999999999977,True,1,0.07000000000000095,0.18500000000000094,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.45000000000005436,-0.1900000000000599,True,1
2039,6,-0.5999999999999979,-0.3799999999999977,True,1,0.03500000000000103,0.13500000000000112,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.37000000000005606,-0.1800000000000601,True,1
2040,6,-0.6599999999999979,-0.4199999999999977,True,1,0.05500000000000105,0.16500000000000092,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.46000000000005414,-0.1900000000000599,True,1
2041,6,-0.5999999999999979,-0.4399999999999977,True,1,0.07000000000000095,0.140000000000001,True,1,-0.08999999999999919,-0.06999999999999917,True,1,-0.0767857142857143,-0.3300000000000569,-0.20000000000005969,True,1
2042,6,-0.5799999999999979,-0.3799999999999977,True,1,0.05500000000000105,0.13500000000000112,True,1,-0.07999999999999918,-0.049999999999999156,True,1,-0.0767857142857143,-0.31000000000005734,-0.16000000000006054,True,1
2043,6,-0.5799999999999979,-0.3799999999999977,True,1,0.06500000000000083,0.15000000000000102,True,1,-0.07999999999999918,-0.05499999999999916,True,1,-0.0767857142857143,-0.3500000000000565,-0.1800000000000601,True,1
2044,6,-0.5799999999999979,-0.35999999999999766,True,1,0.04500000000000082,0.1450000000000009,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.30000000000005755,-0.15000000000006075,True,1
2045,6,-0.5799999999999979,-0.4399999999999977,True,1,0.07000000000000095,0.130000000000001,True,1,-0.08499999999999919,-0.06999999999999917,True,1,-0.0767857142857143,-0.3300000000000569,-0.21000000000005947,True,1
2046,6,-0.6399999999999979,-0.4199999999999977,True,1,0.07500000000000107,0.17000000000000104,True,1,-0.08499999999999919,-0.049999999999999156,True,1,-0.0767857142857143,-0.39000000000005564,-0.1800000000000601,True,1
2047,6,-0.4999999999999978,-0.3199999999999976,False,1,0.020000000000000906,0.10000000000000098,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.2500000000000586,-0.14000000000006096,True,1
2048,6,,,False,0,,,False,0,,,False,0,-0.0767857142857143,,,False,0
2049,6,-0.6599999999999979,-0.35999999999999766,True,1,0.03500000000000103,0.16000000000000103,True,1,-0.0949999999999992,-0.05499999999999916,True,1,-0.0767857142857143,-0.420000000000055,-0.16000000000006054,True,1
2050,6,-0.6199999999999979,-0.3999999999999977,True,1,0.03500000000000103,0.130000000000001,True,1,-0.0949999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.4300000000000548,-0.20000000000005969,True,1
2051,6,-0.5599999999999978,-0.33999999999999764,True,1,0.04500000000000082,0.15000000000000102,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.3200000000000571,-0.16000000000006054,True,1
2052,6,-0.699999999999998,-0.4399999999999977,True,1,0.06500000000000083,0.18500000000000094,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.5200000000000529,-0.20000000000005969,True,1
2053,6,-0.699999999999998,-0.35999999999999766,True,1,0.05000000000000093,0.18500000000000094,True,1,-0.08999999999999919,-0.049999999999999156,True,1,-0.0767857142857143,-0.46000000000005414,-0.15000000000006075,True,1
2054,6,-0.5999999999999979,-0.3999999999999977,True,1,0.040000000000000924,0.1250000000000009,True,1,-0.08999999999999919,-0.059999999999999165,True,1,-0.0767857142857143,-0.420000000000055,-0.21000000000005947,True,1
2055,6,-0.5799999999999979,-0.3799999999999977,True,1,0.05000000000000093,0.140000000000001,True,1,-0.08499999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.3300000000000569,-0.17000000000006033,True,1
2056,6,-0.719999999999998,-0.47999999999999776,True,1,0.07500000000000107,0.18000000000000105,True,1,-0.0949999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.5800000000000516,-0.23000000000005905,True,1
2057,6,-0.5799999999999979,-0.33999999999999764,True,1,0.040000000000000924,0.1450000000000009,True,1,-0.08999999999999919,-0.049999999999999156,True,1,-0.0767857142857143,-0.3200000000000571,-0.14000000000006096,True,1
2058,6,-0.6399999999999979,-0.4399999999999977,True,1,0.10000000000000098,0.19000000000000106,False,1,-0.07999999999999918,-0.05499999999999916,True,1,-0.0767857142857143,-0.3400000000000567,-0.1800000000000601,True,1
2059,6,-0.6599999999999979,-0.3799999999999977,True,1,0.06000000000000094,0.18500000000000094,True,1,-0.08999999999999919,-0.049999999999999156,True,1,-0.0767857142857143,-0.4000000000000554,-0.16000000000006054,True,1
2060,6,-0.6599999999999979,-0.4199999999999977,True,1,0.05500000000000105,0.17000000000000104,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.4100000000000552,-0.1800000000000601,True,1
