seed,phi_lo,phi_hi,phi_cov,phi_n_islands,n_lo,n_hi,n_cov,n_n_islands,a_lo,a_hi,a_cov,a_n_islands,t_lo,t_hi,t_cov,t_n_islands
1000,-1.799999999999999,-1.4599999999999986,True,1,1.9000000000000035,2.5400000000000045,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.759999999999997,-1.9999999999999964,True,1
1001,-1.5999999999999988,-1.2999999999999985,True,1,1.7000000000000033,2.220000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.719999999999998,-2.439999999999997,True,1
1002,-1.6399999999999988,-1.3599999999999985,True,1,1.7800000000000034,2.320000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.1199999999999974,-2.1599999999999966,True,1
1003,-1.919999999999999,-1.4999999999999987,True,1,1.9400000000000035,2.720000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.519999999999997,-1.8399999999999963,True,1
1004,-1.5799999999999987,-1.2999999999999985,True,1,1.6800000000000033,2.1600000000000037,True,1,-0.4199999999999986,-0.37999999999999856,False,1,-3.4799999999999978,-2.2399999999999967,True,1
1005,-1.7199999999999989,-1.3799999999999986,True,1,1.7400000000000033,2.3400000000000034,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.9599999999999973,-2.0399999999999965,True,1
1006,-1.7399999999999989,-1.3999999999999986,True,1,1.7800000000000034,2.360000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.719999999999997,-1.9199999999999964,True,1
1007,-1.6999999999999988,-1.3799999999999986,True,1,1.7800000000000034,2.3000000000000043,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.9599999999999973,-2.0799999999999965,True,1
1008,-1.5199999999999987,-1.2599999999999985,True,1,1.5600000000000032,2.020000000000003,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.759999999999998,-2.3199999999999967,True,1
1009,-1.6199999999999988,-1.2999999999999985,True,1,1.6600000000000033,2.220000000000004,True,1,-0.47999999999999865,-0.4199999999999986,True,1,-3.4399999999999977,-2.1999999999999966,True,1
1010,-1.5999999999999988,-1.3199999999999985,True,1,1.6800000000000033,2.1600000000000037,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.1599999999999975,-2.1199999999999966,True,1
1011,-1.6399999999999988,-1.3199999999999985,True,1,1.6600000000000033,2.2000000000000037,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.3199999999999976,-2.1599999999999966,True,1
1012,-1.5799999999999987,-1.2799999999999985,True,1,1.6600000000000033,2.1800000000000033,True,1,-0.45999999999999863,-0.3999999999999986,True,1,-3.599999999999998,-2.2799999999999967,True,1
1013,-1.6799999999999988,-1.3599999999999985,True,1,1.7800000000000034,2.360000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.0399999999999974,-2.1199999999999966,True,1
1014,-1.919999999999999,-1.5199999999999987,False,1,1.9600000000000035,2.6600000000000037,True,1,-0.45999999999999863,-0.3999999999999986,True,1,-2.439999999999997,-1.8399999999999963,False,1
1015,-1.839999999999999,-1.4599999999999986,True,1,1.9800000000000035,2.680000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.719999999999997,-1.9999999999999964,True,1
1016,-1.859999999999999,-1.4799999999999986,True,1,1.9600000000000035,2.640000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.599999999999997,-1.8799999999999963,True,1
1017,-1.5399999999999987,-1.2799999999999985,True,1,1.7000000000000033,2.1800000000000033,True,1,-0.4399999999999986,-0.37999999999999856,True,1,-3.9999999999999982,-2.519999999999997,False,1
1018,-1.6799999999999988,-1.3799999999999986,True,1,1.7000000000000033,2.2400000000000038,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-2.759999999999997,-1.9199999999999964,True,1
1019,-1.4399999999999986,-1.1999999999999984,False,1,1.500000000000003,1.9400000000000035,False,1,-0.45999999999999863,-0.4199999999999986,True,1,-4.519999999999999,-2.599999999999997,False,2
1020,-1.6199999999999988,-1.3199999999999985,True,1,1.7400000000000033,2.2600000000000033,True,1,-0.4199999999999986,-0.37999999999999856,False,1,-3.3999999999999977,-2.2399999999999967,True,1
1021,-1.779999999999999,-1.4399999999999986,True,1,1.7400000000000033,2.320000000000004,True,1,-0.47999999999999865,-0.4199999999999986,True,1,-2.559999999999997,-1.8399999999999963,True,1
1022,-1.879999999999999,-1.4799999999999986,True,1,1.9400000000000035,2.600000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.559999999999997,-1.8399999999999963,True,1
1023,-1.5599999999999987,-1.2999999999999985,True,1,1.7400000000000033,2.2400000000000038,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.679999999999998,-2.399999999999997,True,1
1024,-1.779999999999999,-1.4399999999999986,True,1,1.8400000000000034,2.4200000000000035,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-2.719999999999997,-1.9599999999999964,True,1
1025,-1.7199999999999989,-1.3799999999999986,True,1,1.7800000000000034,2.3800000000000043,True,1,-0.45999999999999863,-0.3999999999999986,True,1,-2.9999999999999973,-2.0399999999999965,True,1
1026,-1.5999999999999988,-1.3399999999999985,True,1,1.7400000000000033,2.220000000000004,True,1,-0.45999999999999863,-0.3999999999999986,True,1,-3.3999999999999977,-2.3199999999999967,True,1
1027,-1.5799999999999987,-1.2799999999999985,True,1,1.6000000000000032,2.1200000000000037,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.719999999999998,-2.3199999999999967,True,1
1028,-1.919999999999999,-1.5199999999999987,False,1,2.100000000000003,2.8600000000000048,False,1,-0.47999999999999865,-0.4399999999999986,False,1,-2.679999999999997,-1.9599999999999964,True,1
1029,-1.5799999999999987,-1.2999999999999985,True,1,1.6000000000000032,2.060000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.3199999999999976,-2.1599999999999966,True,1
1030,-1.6399999999999988,-1.3399999999999985,True,1,1.7800000000000034,2.320000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.3599999999999977,-2.2399999999999967,True,1
1031,-1.6799999999999988,-1.3599999999999985,True,1,1.7600000000000033,2.360000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.1599999999999975,-2.1599999999999966,True,1
1032,-1.6999999999999988,-1.3799999999999986,True,1,1.7800000000000034,2.360000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.9199999999999973,-1.9999999999999964,True,1
1033,-1.6799999999999988,-1.3599999999999985,True,1,1.7800000000000034,2.320000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.2399999999999975,-2.1999999999999966,True,1
1034,-1.6799999999999988,-1.3799999999999986,True,1,1.7400000000000033,2.2600000000000033,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.9599999999999973,-2.0799999999999965,True,1
1035,-1.6999999999999988,-1.3599999999999985,True,1,1.7800000000000034,2.3800000000000043,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-3.0799999999999974,-2.1199999999999966,True,1
1036,-1.5799999999999987,-1.2999999999999985,True,1,1.6400000000000032,2.1600000000000037,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.759999999999998,-2.439999999999997,True,1
1037,-1.799999999999999,-1.4399999999999986,True,1,1.8400000000000034,2.440000000000004,True,1,-0.4399999999999986,-0.37999999999999856,True,1,-2.479999999999997,-1.7599999999999962,False,1
1038,-1.6599999999999988,-1.3399999999999985,True,1,1.7800000000000034,2.3400000000000034,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.2799999999999976,-2.1999999999999966,True,1
1039,-1.6399999999999988,-1.3399999999999985,True,1,1.7600000000000033,2.320000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.2799999999999976,-2.1999999999999966,True,1
1040,-1.799999999999999,-1.4399999999999986,True,1,1.8800000000000034,2.5000000000000036,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.759999999999997,-1.9599999999999964,True,1
1041,-1.7199999999999989,-1.3999999999999986,True,1,1.8000000000000034,2.3800000000000043,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.0399999999999974,-2.1199999999999966,True,1
1042,-1.5999999999999988,-1.3199999999999985,True,1,1.7400000000000033,2.2600000000000033,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.599999999999998,-2.399999999999997,True,1
1043,-1.5599999999999987,-1.2799999999999985,True,1,1.5800000000000032,2.0800000000000036,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-3.4799999999999978,-2.1999999999999966,True,1
1044,-1.899999999999999,-1.4999999999999987,True,1,1.8800000000000034,2.5400000000000045,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.3599999999999968,-1.7199999999999962,False,1
1045,-1.839999999999999,-1.4599999999999986,True,1,2.0000000000000036,2.680000000000004,False,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.8799999999999972,-2.0799999999999965,True,1
1046,-1.6399999999999988,-1.3399999999999985,True,1,1.6800000000000033,2.1800000000000033,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-3.2399999999999975,-2.1599999999999966,True,1
1047,-1.5399999999999987,-1.2799999999999985,True,1,1.6600000000000033,2.1200000000000037,True,1,-0.4199999999999986,-0.37999999999999856,False,1,-3.759999999999998,-2.3599999999999968,True,1
