timestamp,cpu_pct,cpu_perf_pct,mem_used_gb,mem_commit_gb,mem_commit_limit_gb,pagefile_pct,stata_count,stata_pids,stata_ws_gb_total,stata_cpu_sec_total,stata_threads_total,perf_per_core,util_per_core
# logical_cores=22
# header_repeated_below
timestamp,cpu_pct,cpu_perf_pct,mem_used_gb,mem_commit_gb,mem_commit_limit_gb,pagefile_pct,stata_count,stata_pids,stata_ws_gb_total,stata_cpu_sec_total,stata_threads_total,perf_per_core,util_per_core
2026-05-06 07:02:06,21.3,125.6,24.85,41.31,71.99,3.31,0,,,,,109.8|80.7|69.3|72.5|57.5|57.1|56|56.7|55.6|56.2|90.8|158.7|143.6|87.4|102|73.4|88.1|96|101.2|99.1|109.8|109.9,22.6|0|24.2|14.9|0.9|4|0|2.5|30.4|7.1|21.1|10.2|44.3|0|27.3|0|31.9|11.8|25.7|5.6|0|0
2026-05-06 07:02:17,17.3,145,25.56,42.25,71.99,3.31,2,24152|42248,0.393,9.7,19,128.2|143.4|137.4|142.3|148.6|161.3|113.3|120.3|169|180.9|153|112.2|139.9|137|131.9|102.2|123.7|118.8|160.5|108.4|110|109.9,16.8|7.5|10.6|9.1|7.5|7.5|6|0|21.4|13.7|29.1|0|29.1|0|46.1|0|24.5|0|46.1|2.9|0|0
2026-05-06 07:02:28,12.9,144.6,25.61,42.3,71.99,3.31,2,24152|42248,0.507,25.6,18,126.6|101.3|145.4|92.9|96.8|90|115.8|65.5|100.6|133.5|182.1|141|177.2|128.7|139.2|79.5|118.2|96.8|141.9|89.2|110|110.3,28.9|0|8.8|4.2|1.1|5.7|7.3|2.6|13.4|8.8|39.7|0|28.9|0|22.7|0|27.3|1.1|44.4|19.6|0|0
2026-05-06 07:02:38,9.5,155,25.55,42.23,71.99,3.3,2,24152|42248,0.554,41.5,19,164.2|97.5|162.5|164.4|126.3|174.6|74.2|99.2|85.9|127.6|179.5|146.1|159.4|183.8|158.2|77.3|125.6|84.7|189|171.8|110|109.9,26.1|0|29.2|27.6|15.3|15.3|6.1|7.6|1.5|30.7|19.9|0|0|21.5|30.7|0|26.1|0|0|38.4|0|0
2026-05-06 07:02:48,16.8,163.9,25.57,42.28,71.99,3.3,2,24152|42248,0.601,56,19,122.8|91.4|131.7|101.2|74.8|64.9|64.9|182.1|182.7|92.3|191.3|211|214.2|192|147.5|89|122.4|82.2|120.3|177.1|0|0,29.9|0.4|22.2|9.7|14.4|6.6|0.4|1.9|1.9|25.3|37.7|0|0|26.8|47.1|0|45.5|0|0|37.7|0.4|0
2026-05-06 07:02:59,7.5,152.1,25.59,42.4,71.99,3.3,2,24152|42248,0.64,71.2,19,129.7|78.6|142.5|132.8|143|141.7|59.8|55.6|55.6|101.5|164.5|168.1|164|186.5|136.5|131|106.8|95.4|82|114.5|107.9|107.6,36.2|51.8|26.9|26.9|5.1|6.7|0|0|0|19.1|28.5|0|12.9|33.1|34.7|0|16|0|0|37.8|0.5|0
2026-05-06 07:03:09,22.2,162.6,25.63,42.36,71.99,3.3,2,24152|42248,0.688,86.7,16,173.9|164.2|121.1|105.8|71.9|104.4|176.2|113.5|139.7|76.2|180.4|109.7|173.4|67.4|154.6|75.8|135.8|84.8|128|0|110.1|0,30.3|16.4|27.2|5.5|4|2.4|8.6|4|2.4|0.9|33.4|76.8|24.1|2.4|48.9|0|33.4|41.2|25.7|70.6|0.9|0.9
2026-05-06 07:03:20,9.1,138.1,25.68,42.38,71.99,3.3,2,24152|42248,0.731,102.3,11,112.8|88|149.7|178.6|162.6|202|78.7|61.4|62.3|110.2|163|104.6|163.6|136.5|123.8|177.8|114.5|77.9|117.4|68.3|110.1|110.2,44.6|27.7|21.5|10.7|4.6|4.6|29.2|18.4|12.3|16.9|46.1|29.2|49.2|1.5|50.8|0|64.6|4.6|47.7|0|1.5|1.5
2026-05-06 07:03:30,5.4,135.1,25.74,42.47,71.99,3.3,2,24152|42248,0.686,116.7,6,105|76.7|174.9|147.1|118.6|158.8|103.8|56.4|56.5|62.8|182.1|117.1|160.8|94.6|150.4|85.1|147.4|91.4|108.1|80.2|110|110.1,39.6|44.2|42.7|38|48.9|27.2|52|10.2|5.5|11.7|55.1|62.8|50.4|55.1|28.8|4|48.9|0|38|0|0.9|0
2026-05-06 07:03:40,0.9,134.8,25.53,42.15,71.99,3.3,1,24152,0.561,83.4,5,124.9|88.1|134.5|118.6|93.5|91.8|90.8|55.7|55.7|55.9|75|105.4|122.2|111.4|91.4|87|110.5|130|77.8|79.7|109.9|109.9,1.8|50.1|9.6|32.9|31.4|28.3|9.6|3.3|6.4|8|0.2|28.3|29.8|0.2|64.1|17.4|56.3|0.2|22|1.8|0.2|0.2
2026-05-06 07:03:51,19.7,84.7,25.48,42.1,71.99,3.3,1,24152,0.577,93.4,5,81.2|94.6|99.1|66|61.3|59.3|55.5|55.6|55.6|0|76.4|83.7|81.9|82.5|89.6|70.1|77.7|0|64.4|0|0|0,2.3|25.6|2.3|30.2|22.5|17.8|0.8|0|0|0|0.8|11.6|25.6|0|10.1|0|14.7|0|0|0|0|0
