J,rep,wall_seconds,monitor_samples,cpu_pct_mean,cpu_pct_med,cpu_pct_max,cpu_perf_pct_mean,cpu_perf_pct_med,cpu_perf_pct_min,cpu_perf_pct_max,mem_used_gb_mean,mem_used_gb_max,mem_commit_gb_mean,pagefile_pct_mean,pagefile_pct_max,stata_ws_gb_mean,stata_ws_gb_max,stata_cpu_sec_per_wall_sec,stata_threads_med
2000,1,30.218,4,10.3,11.0,13.9,151.0,144.3,142.9,172.3,22.99,23.07,39.57,3.66,3.66,0.306,0.361,1.004,9
2000,2,95.303,12,10.2,9.6,17.3,152.4,150.8,117.9,183.8,23.09,23.2,39.73,3.66,3.66,0.349,0.373,0.991,5
2000,3,99.121,12,11.1,9.4,22.8,145.3,139.6,123.8,189.0,23.07,23.1,39.68,3.66,3.66,0.365,0.373,0.988,3
2000,4,95.004,12,10.9,10.9,18.3,149.2,147.1,133.9,167.2,23.05,23.11,39.66,3.66,3.66,0.36,0.364,0.978,3
2000,5,97.666,12,13.6,13.9,20.4,159.8,160.6,129.3,187.4,23.02,23.27,39.6,3.66,3.66,0.36,0.363,0.973,6
5000,1,1310.709,159,11.8,10.5,37.9,155.0,156.2,78.9,197.7,23.61,25.04,40.14,3.66,3.66,0.645,0.737,0.984,3
5000,2,2469.624,299,8.8,8.1,23.2,111.4,121.5,58.1,169.2,23.44,24.45,39.88,3.66,3.67,0.757,0.767,0.979,3
5000,3,2343.982,284,9.7,9.3,19.6,122.8,130.6,61.6,170.5,24.01,25.06,40.05,3.67,3.67,0.76,0.766,0.979,3
5000,4,2324.983,281,9.7,9.0,20.5,125.2,130.9,59.5,178.8,24.32,25.25,40.04,3.67,3.67,0.763,0.771,0.98,3
5000,5,2399.19,290,8.8,8.2,19.6,116.9,126.7,62.4,169.7,24.41,25.4,40.08,3.65,3.67,0.765,0.771,0.979,3
