J,rep,wall_seconds,monitor_samples,cpu_pct_mean,cpu_perf_pct_mean,cpu_perf_pct_min,cpu_perf_pct_max,mem_used_gb_mean,mem_used_gb_max,mem_commit_gb_mean,mem_commit_gb_max,pagefile_pct_mean,pagefile_pct_max,stata_count_mode,stata_count_max,stata_ws_gb_mean,stata_ws_gb_max,stata_threads_med,stata_cpu_sec_per_wall_sec,stata_active_cores,n_stata_active_cores,mean_perf_pct_active_cores,min_perf_pct_active_cores
5000,1,512.242,49,13.9,107.2,68.7,163.9,25.66,25.89,42.3,42.6,3.3,3.31,1,2,0.698,0.885,6,0.946,14,1,94.0,94.0
5000,2,1973.005,172,13.0,96.7,59.3,172.1,26.49,27.07,43.6,45.16,3.31,3.35,1,2,0.751,0.843,3,0.876,18,1,78.1,78.1
5000,3,1763.591,170,12.4,107.7,64.7,182.4,25.98,28.07,45.21,46.17,3.36,3.45,1,1,0.739,0.758,3,0.97,18,1,91.9,91.9
5000,4,1525.497,148,11.2,118.9,90.5,142.9,25.3,27.07,45.1,46.55,3.31,3.34,1,1,0.727,0.765,3,0.97,18,1,109.5,109.5
5000,5,3451.677,325,29.7,100.3,86.2,137.0,27.04,29.58,53.75,57.37,9.99,13.35,1,1,0.623,0.733,3,0.957,16,1,91.6,91.6
2000,1,1697.925,159,32.6,96.8,87.7,106.0,24.45,25.88,56.1,57.3,12.63,12.7,1,1,0.475,0.697,3,0.969,18,1,88.8,88.8
2000,2,828.85,79,17.1,105.1,77.9,130.4,23.8,24.73,52.37,55.57,10.94,12.44,1,1,0.35,0.367,3,0.97,18,1,96.2,96.2
2000,3,722.917,69,13.6,114.5,73.0,124.7,24.03,24.47,51.97,52.42,10.09,10.12,1,1,0.356,0.361,3,0.977,18,1,107.1,107.1
2000,4,675.552,65,12.2,119.0,113.7,125.2,24.44,25.24,52.21,52.37,10.18,10.2,1,1,0.351,0.356,3,0.979,18,1,109.9,109.9
2000,5,750.671,72,11.8,107.6,78.1,131.7,24.06,24.47,52.42,53.13,10.09,10.17,1,1,0.35,0.353,3,0.973,18,1,95.4,95.4
