J_target,rep,J_actual,N_obs,n_active_z,wall_seconds,rc,start_clock,end_clock
2000,1,2000,6241,21,30.218,0, 5 May 2026 21:52:58, 5 May 2026 21:53:29
2000,2,2000,6241,21,95.303,0, 5 May 2026 21:53:29, 5 May 2026 21:55:04
2000,3,2000,6241,21,99.121,0, 5 May 2026 21:55:04, 5 May 2026 21:56:43
2000,4,2000,6241,21,95.004,0, 5 May 2026 21:56:44, 5 May 2026 21:58:19
2000,5,2000,6241,21,97.666,0, 5 May 2026 21:58:19, 5 May 2026 21:59:56
5000,1,5000,15650,28,1310.709,0, 5 May 2026 21:59:57, 5 May 2026 22:21:47
5000,2,5000,15650,28,2469.624,0, 5 May 2026 22:21:48, 5 May 2026 23:02:57
5000,3,5000,15650,28,2343.982,0, 5 May 2026 23:02:58, 5 May 2026 23:42:02
5000,4,5000,15650,28,2324.983,0, 5 May 2026 23:42:02, 6 May 2026 00:20:47
5000,5,5000,15650,28,2399.19,0, 6 May 2026 00:20:47, 6 May 2026 01:00:46
