J_target,rep,J_actual,N_obs,n_active_z,wall_seconds,rc,start_clock,end_clock
5000,1,5000,15650,28,512.242,0, 6 May 2026 07:02:18, 6 May 2026 07:10:51
5000,2,5000,15650,28,1973.005,0, 6 May 2026 07:10:51, 6 May 2026 07:43:44
5000,3,5000,15650,28,1763.591,0, 6 May 2026 07:43:44, 6 May 2026 08:13:08
5000,4,5000,15650,28,1525.497,0, 6 May 2026 08:13:08, 6 May 2026 08:38:34
5000,5,5000,15650,28,3451.677,0, 6 May 2026 08:38:34, 6 May 2026 09:36:06
2000,1,2000,6241,21,1697.925,0, 6 May 2026 09:36:07, 6 May 2026 10:04:25
2000,2,2000,6241,21,828.85,0, 6 May 2026 10:04:25, 6 May 2026 10:18:14
2000,3,2000,6241,21,722.917,0, 6 May 2026 10:18:14, 6 May 2026 10:30:17
2000,4,2000,6241,21,675.552,0, 6 May 2026 10:30:18, 6 May 2026 10:41:33
2000,5,2000,6241,21,750.671,0, 6 May 2026 10:41:34, 6 May 2026 10:54:04
