idx,instrument,diag_S,n_clusters_nonzero
1,unbalanced, 9.43926017010370e-01,26413
2,unbalanced_choice, 4.58795315185829e-01,16125
3,never, 9.06754229359448e-02,1158
4,switcher_2, 1.46270308761758e-02,220
5,switcher_3, 1.66426483077310e-03,23
6,switcher_4, 1.25940953842372e-02,178
7,switcher_5, 2.04382491361414e-03,15
8,switcher_6, 1.08709890089337e-03,14
9,switcher_7, 6.29134650104178e-04,12
10,switcher_8, 1.57825442166981e-02,178
11,switcher_9, 3.39751170123402e-03,39
12,switcher_10, 4.15623580252311e-04,8
13,switcher_11, 2.14396666041859e-05,1
14,switcher_12, 1.32982752096935e-03,21
15,switcher_13, 1.81597227184175e-03,19
16,switcher_14, 4.28600932145836e-04,9
17,switcher_15, 3.36763443272900e-04,5
18,switcher_16, 1.15970993856331e-02,140
19,switcher_17, 3.47593010655490e-03,55
20,switcher_18, 1.42685639880397e-03,16
21,switcher_19, 8.41991640975987e-05,4
22,switcher_20, 4.51789399497346e-03,47
23,switcher_21, 5.85357548338881e-04,6
24,switcher_22, 6.67513743807613e-04,7
25,switcher_23, 4.03258977726881e-04,5
26,switcher_24, 9.03208875746703e-03,116
27,switcher_25, 2.31539659408483e-03,28
28,switcher_26, 1.24971291701380e-03,12
29,switcher_27, 2.77801692953264e-04,3
30,switcher_28, 4.56753997223804e-03,58
31,switcher_29, 1.84966255739328e-03,27
32,switcher_30, 3.92661312559984e-03,41
33,switcher_31, 1.98943156488750e-03,20
34,choice, 5.59443619103759e-01,18250
35,always_choice, 6.16365896015012e-02,799
36,switcher_2_choice, 1.48727707159127e-03,220
37,switcher_3_choice, 1.84413981368301e-04,22
38,switcher_4_choice, 2.81525873846833e-03,178
39,switcher_5_choice, 1.15467845364059e-04,15
40,switcher_6_choice, 2.35353765743664e-04,14
41,switcher_7_choice, 1.98246442590302e-04,12
42,switcher_8_choice, 6.96140164825635e-03,178
43,switcher_9_choice, 2.04136311230354e-04,39
44,switcher_10_choice, 3.34836002384070e-05,8
45,switcher_11_choice, 2.95409709988898e-06,1
46,switcher_12_choice, 4.94948275004717e-04,21
47,switcher_13_choice, 2.75469559066463e-04,19
48,switcher_14_choice, 2.02398553561808e-04,9
49,switcher_15_choice, 8.04803541741696e-05,5
50,switcher_16_choice, 7.96145677320068e-03,140
51,switcher_17_choice, 3.00314208363659e-04,55
52,switcher_18_choice, 3.71076329864299e-04,16
53,switcher_19_choice, 9.62745133006262e-06,4
54,switcher_20_choice, 1.84370433556240e-03,47
55,switcher_21_choice, 1.28640727195182e-04,6
56,switcher_22_choice, 1.90896907602193e-04,7
57,switcher_23_choice, 2.28844527758983e-04,5
58,switcher_24_choice, 5.85470047743465e-03,116
59,switcher_25_choice, 5.12803427930136e-04,28
60,switcher_26_choice, 5.93373607041716e-04,12
61,switcher_27_choice, 3.60886550143633e-05,3
62,switcher_28_choice, 3.02350133818067e-03,58
63,switcher_29_choice, 9.70166831300518e-04,27
64,switcher_30_choice, 2.67027203854170e-03,41
65,switcher_31_choice, 1.02495643634994e-03,20
