row,col,value
1,1,2.341694942643394
1,2,-2.485522835585317
1,3,0
1,4,1.11978000903e-16
1,5,-1.31472100709e-16
1,6,3.52416209272e-16
1,7,4.73872138717e-31
1,8,6.07953037585e-16
1,9,-1.92207760909e-16
1,10,-3.76588808064e-30
1,11,1.19216742867e-16
1,12,-1.40325453057e-31
1,13,1.16648166542e-15
1,14,1.92815577192e-31
1,15,3.53414815277e-16
1,16,-5.06502740805e-16
1,17,2.42034199928e-15
1,18,-5.71066131360e-15
1,19,4.17426062962e-32
1,20,-5.59291932075e-32
1,21,-5.91645678916e-31
1,22,1.84236853392e-30
1,23,-8.08633315593e-16
1,24,2.55928303172e-30
1,25,2.81858824262e-15
1,26,-1.08253246254e-15
1,27,-4.37885493798e-16
1,28,-6.67532716542e-30
1,29,-1.32650129397e-15
1,30,-4.03050310454e-30
1,31,-9.84701000935e-16
1,32,2.93419227835e-15
1,33,2.12865028934e-15
1,34,-3.14249465498e-15
1,35,3.14249465498e-15
1,36,2.61646665318e-15
1,37,3.42302076500e-15
1,38,2.22731211871e-15
1,39,3.14249465498e-15
1,40,1.94786131226e-15
1,41,3.39682180559e-15
1,42,3.14249465498e-15
1,43,2.50555666660e-15
1,44,3.14249465498e-15
1,45,0
1,46,3.14249465498e-15
1,47,2.13137169959e-15
1,48,3.78093108820e-15
1,49,-1.97977904568e-15
1,50,9.85184239736e-15
1,51,3.14249465498e-15
1,52,3.14249465498e-15
1,53,3.14249465498e-15
1,54,3.14249465498e-15
1,55,4.76565225626e-15
1,56,3.14249465498e-15
1,57,-7.19388535463e-16
1,58,4.75712138763e-15
1,59,4.07993517255e-15
1,60,3.14249465498e-15
1,61,6.68491238230e-15
1,62,3.14249465498e-15
1,63,4.32928559517e-15
1,64,-2.79067468679e-16
1,65,0
2,1,-2.485522835585317
2,2,8923.093906427743
2,3,0
2,4,-6.28023357142e-14
2,5,-7.00109974006e-13
2,6,-2.12072250370e-12
2,7,3.21358438663e-12
2,8,-8.64627881739e-12
2,9,-7.07435446780e-13
2,10,-9.46427848203e-12
2,11,-4.33034713046e-13
2,12,-4.90376305029e-13
2,13,3310.42903825202
2,14,-4.47360905849e-13
2,15,-4.55672237399e-12
2,16,1.80925716826e-12
2,17,4.94596285005e-11
2,18,-7.64951501974e-13
2,19,5.18914678272e-13
2,20,7.63411172052e-12
2,21,-4.09272615798e-12
2,22,1.30781999066e-11
2,23,1.81734983839e-12
2,24,1.09209571363e-11
2,25,-1.19903301648e-11
2,26,-4.19057926810e-11
2,27,9.53941562391e-13
2,28,-1.84001199200e-11
2,29,-1.75743434491e-11
2,30,7.26069706431e-13
2,31,5.10596105711e-12
2,32,-6.61976190760e-11
2,33,6041.025709219437
2,34,-8918.276100519312
2,35,8918.276100519312
2,36,8918.276100519312
2,37,8918.27610051931
2,38,8918.276100519319
2,39,8918.276100519295
