idx,name,value
1,mu:never,11.35112688978651
2,mu:switcher_2,11.12871287620327
3,mu:switcher_3,11.45677619992896
4,mu:switcher_4,11.18310514884322
5,mu:switcher_5,11.50972171746261
6,mu:switcher_6,11.16634870712904
7,mu:switcher_7,11.42420015848748
8,mu:switcher_8,11.21858052585081
9,mu:switcher_9,11.5790229222839
10,mu:switcher_10,11.30649866287624
11,mu:switcher_11,20.39262344460231
12,mu:switcher_12,11.30635920069487
13,mu:switcher_13,11.57851031184162
14,mu:switcher_14,11.2875070522384
15,mu:switcher_15,11.46085809705565
16,mu:switcher_16,11.22167595482227
17,mu:switcher_17,11.73444889611831
18,mu:switcher_18,11.49397148656744
19,mu:switcher_19,11.49235467023972
20,mu:switcher_20,11.32965152749941
21,mu:switcher_21,11.52434918924549
22,mu:switcher_22,11.45824278568607
23,mu:switcher_23,11.52141351683509
24,mu:switcher_24,11.3814360132993
25,mu:switcher_25,11.69312817482329
26,mu:switcher_26,11.48251094012183
27,mu:switcher_27,11.42195205884335
28,mu:switcher_28,11.37835211234041
29,mu:switcher_29,11.78999090966984
30,mu:switcher_30,11.50367092923932
31,mu:switcher_31,11.09932730469777
32,Delta_base:_cons,.8483075961609827
33,phi:_cons,-2.445469542620093
34,kappa:_cons,11.28753291886754
35,xb:unbalanced,11.37151246783156
36,xb:unbalanced_choice,-.4711791535405895
