phi,p_val32,p_val43,p_val54,p_val65,p_val76,p_val_joint,test_type,add,not_sig32,min_phi32,max_phi32
-3,1.3301404e-15,,,,,,joint,,0,-1.78,-1.4400001
-2.98,2.1225682e-15,,,,,,joint,,0,-1.78,-1.4400001
-2.96,3.3984442e-15,,,,,,joint,,0,-1.78,-1.4400001
-2.9400001,5.4594814e-15,,,,,,joint,,0,-1.78,-1.4400001
-2.9200001,8.7998041e-15,,,,,,joint,,0,-1.78,-1.4400001
-2.9000001,1.4231199e-14,,,,,,joint,,0,-1.78,-1.4400001
-2.8800001,2.3091495e-14,,,,,,joint,,0,-1.78,-1.4400001
-2.8599999,3.7592308e-14,,,,,,joint,,0,-1.78,-1.4400001
-2.8399999,6.1400937e-14,,,,,,joint,,0,-1.78,-1.4400001
-2.8199999,1.0061705e-13,,,,,,joint,,0,-1.78,-1.4400001
-2.8,1.6541647e-13,,,,,,joint,,0,-1.78,-1.4400001
-2.78,2.7282541e-13,,,,,,joint,,0,-1.78,-1.4400001
-2.76,4.5141557e-13,,,,,,joint,,0,-1.78,-1.4400001
-2.74,7.4927076e-13,,,,,,joint,,0,-1.78,-1.4400001
-2.72,1.2475405e-12,,,,,,joint,,0,-1.78,-1.4400001
-2.7,2.0835551e-12,,,,,,joint,,0,-1.78,-1.4400001
-2.6800001,3.4903478e-12,,,,,,joint,,0,-1.78,-1.4400001
-2.6600001,5.8643815e-12,,,,,,joint,,0,-1.78,-1.4400001
-2.6400001,9.8818792e-12,,,,,,joint,,0,-1.78,-1.4400001
-2.6199999,1.6699061e-11,,,,,,joint,,0,-1.78,-1.4400001
-2.5999999,2.8297517e-11,,,,,,joint,,0,-1.78,-1.4400001
-2.5799999,4.8081056e-11,,,,,,joint,,0,-1.78,-1.4400001
-2.5599999,8.1908973e-11,,,,,,joint,,0,-1.78,-1.4400001
-2.54,1.3988780e-10,,,,,,joint,,0,-1.78,-1.4400001
-2.52,2.3948288e-10,,,,,,joint,,0,-1.78,-1.4400001
-2.5,4.1092926e-10,,,,,,joint,,0,-1.78,-1.4400001
-2.48,7.0665124e-10,,,,,,joint,,0,-1.78,-1.4400001
-2.46,1.2176764e-09,,,,,,joint,,0,-1.78,-1.4400001
-2.4400001,2.1022577e-09,,,,,,joint,,0,-1.78,-1.4400001
-2.4200001,3.6358079e-09,,,,,,joint,,0,-1.78,-1.4400001
-2.4000001,6.2980390e-09,,,,,,joint,,0,-1.78,-1.4400001
-2.3800001,1.0925016e-08,,,,,,joint,,0,-1.78,-1.4400001
-2.3599999,1.8974401e-08,,,,,,joint,,0,-1.78,-1.4400001
-2.3399999,3.2987856e-08,,,,,,joint,,0,-1.78,-1.4400001
-2.3199999,5.7396328e-08,,,,,,joint,,0,-1.78,-1.4400001
-2.3,9.9920598e-08,,,,,,joint,,0,-1.78,-1.4400001
-2.28,1.7400279e-07,,,,,,joint,,0,-1.78,-1.4400001
-2.26,3.0301842e-07,,,,,,joint,,0,-1.78,-1.4400001
-2.24,5.2755320e-07,,,,,,joint,,0,-1.78,-1.4400001
-2.22,9.1793447e-07,,,,,,joint,,0,-1.78,-1.4400001
-2.2,1.5957301e-06,,,,,,joint,,0,-1.78,-1.4400001
-2.1800001,2.7704702e-06,,,,,,joint,,0,-1.78,-1.4400001
-2.1600001,4.8020538e-06,,,,,,joint,,0,-1.78,-1.4400001
-2.1400001,8.3061886e-06,,,,,,joint,,0,-1.78,-1.4400001
-2.1199999,.000014331358,,,,,,joint,,0,-1.78,-1.4400001
-2.0999999,.000024653609,,,,,,joint,,0,-1.78,-1.4400001
-2.0799999,.000042263404,,,,,,joint,,0,-1.78,-1.4400001
-2.0599999,.000072161944,,,,,,joint,,0,-1.78,-1.4400001
-2.04,.00012264946,,,,,,joint,,0,-1.78,-1.4400001
-2.02,.00020738375,,,,,,joint,,0,-1.78,-1.4400001
-2,.00034862373,,,,,,joint,,0,-1.78,-1.4400001
-1.98,.00058225909,,,,,,joint,,0,-1.78,-1.4400001
-1.96,.00096546952,,,,,,joint,,0,-1.78,-1.4400001
-1.9400001,.0015881477,,,,,,joint,,0,-1.78,-1.4400001
-1.92,.0025895287,,,,,,joint,,0,-1.78,-1.4400001
-1.9,.0041817264,,,,,,joint,,0,-1.78,-1.4400001
-1.88,.0066819414,,,,,,joint,,0,-1.78,-1.4400001
-1.86,.010554763,,,,,,joint,,0,-1.78,-1.4400001
-1.84,.016464906,,,,,,joint,,0,-1.78,-1.4400001
-1.8200001,.025338521,,,,,,joint,,0,-1.78,-1.4400001
-1.8,.038427498,,,,,,joint,,0,-1.78,-1.4400001
-1.78,.057365686,,,,,,joint,,1,-1.78,-1.4400001
-1.76,.084199131,,,,,,joint,,1,-1.78,-1.4400001
-1.74,.12136514,,,,,,joint,,1,-1.78,-1.4400001
-1.72,.17158993,,,,,,joint,,1,-1.78,-1.4400001
-1.7,.23767523,,,,,,joint,,1,-1.78,-1.4400001
-1.6799999,.32215548,,,,,,joint,,1,-1.78,-1.4400001
-1.66,.42683202,,,,,,joint,,1,-1.78,-1.4400001
-1.64,.55223149,,,,,,joint,,1,-1.78,-1.4400001
-1.62,.69708312,,,,,,joint,,1,-1.78,-1.4400001
-1.6,.85795438,,,,,,joint,,1,-1.78,-1.4400001
-1.58,.97080129,,,,,,joint,,1,-1.78,-1.4400001
-1.5599999,.79666239,,,,,,joint,,1,-1.78,-1.4400001
-1.54,.62809545,,,,,,joint,,1,-1.78,-1.4400001
-1.52,.47335985,,,,,,joint,,1,-1.78,-1.4400001
-1.5,.3392151,,,,,,joint,,1,-1.78,-1.4400001
-1.48,.22986481,,,,,,joint,,1,-1.78,-1.4400001
-1.46,.14644131,,,,,,joint,,1,-1.78,-1.4400001
-1.4400001,.087177284,,,,,,joint,,1,-1.78,-1.4400001
-1.42,.048184607,,,,,,joint,,0,-1.78,-1.4400001
-1.4,.024560822,,,,,,joint,,0,-1.78,-1.4400001
-1.38,.011463132,,,,,,joint,,0,-1.78,-1.4400001
-1.36,.0048618373,,,,,,joint,,0,-1.78,-1.4400001
-1.34,.0018588401,,,,,,joint,,0,-1.78,-1.4400001
-1.3200001,.00063520431,,,,,,joint,,0,-1.78,-1.4400001
-1.3,.00019224608,,,,,,joint,,0,-1.78,-1.4400001
-1.28,.000051033301,,,,,,joint,,0,-1.78,-1.4400001
-1.26,.000011759698,,,,,,joint,,0,-1.78,-1.4400001
-1.24,2.3263306e-06,,,,,,joint,,0,-1.78,-1.4400001
-1.22,3.9042195e-07,,,,,,joint,,0,-1.78,-1.4400001
-1.2,5.4888762e-08,,,,,,joint,,0,-1.78,-1.4400001
-1.1799999,6.3772987e-09,,,,,,joint,,0,-1.78,-1.4400001
-1.16,6.0353850e-10,,,,,,joint,,0,-1.78,-1.4400001
-1.14,4.5810536e-11,,,,,,joint,,0,-1.78,-1.4400001
-1.12,2.7430593e-12,,,,,,joint,,0,-1.78,-1.4400001
-1.1,1.2730478e-13,,,,,,joint,,0,-1.78,-1.4400001
-1.08,4.4937724e-15,,,,,,joint,,0,-1.78,-1.4400001
-1.0599999,1.1825309e-16,,,,,,joint,,0,-1.78,-1.4400001
-1.04,2.2707229e-18,,,,,,joint,,0,-1.78,-1.4400001
-1.02,3.1102556e-20,,,,,,joint,,0,-1.78,-1.4400001
-1,2.9664310e-22,,,,,,joint,,0,-1.78,-1.4400001
-.98000002,1.9203742e-24,,,,,,joint,,0,-1.78,-1.4400001
-.95999998,8.2135281e-27,,,,,,joint,,0,-1.78,-1.4400001
-.94,2.2558724e-29,,,,,,joint,,0,-1.78,-1.4400001
-.92000002,3.8615824e-32,,,,,,joint,,0,-1.78,-1.4400001
-.89999998,3.9930217e-35,,,,,,joint,,0,-1.78,-1.4400001
-.88,2.4141794e-38,,,,,,joint,,0,-1.78,-1.4400001
-.86000001,0,,,,,,joint,,0,-1.78,-1.4400001
-.83999997,0,,,,,,joint,,0,-1.78,-1.4400001
-.81999999,0,,,,,,joint,,0,-1.78,-1.4400001
