country,step,spec,spec_label,phi_b,phi_se,delta_never_b,delta_never_se,delta_avg_b,delta_avg_se,j_stat,j_pval,n_individuals,n_obs,converged
IDN,onestep,covs_0,"(1) no FE, no covs",-2.678,(0.300),0.311,(0.115),0.028,(0.002),.,.,23,"92,153",Y
IDN,twostep,covs_0,"(1) no FE, no covs",-2.709,(0.338),0.312,(0.181),0.029,(0.009),2.0,.,23,"92,153",N
IDN,onestep,covs_trend,(2) + time FE,-0.228,(0.121),0.075,(0.028),0.003,(0.001),.,.,23,"92,153",Y
IDN,twostep,covs_trend,(2) + time FE,-0.228,(.),0.074,(0.072),0.003,(0.005),12.8,.,23,"92,153",N
IDN,onestep,covs_1,(3) + female,-0.229,(0.121),0.075,(0.028),0.003,(0.001),.,.,23,"92,142",Y
IDN,twostep,covs_1,(3) + female,-0.229,(.),0.075,(0.071),0.003,(0.005),13.0,.,23,"92,142",N
IDN,onestep,covs_2,(4) + age^2,-0.240,(0.124),0.080,(0.028),0.003,(0.001),.,.,23,"92,142",Y
IDN,twostep,covs_2,(4) + age^2,-0.240,(.),0.080,(0.069),0.003,(0.005),13.6,.,23,"92,142",N
IDN,onestep,covs_all,(5) + education,-0.334,(0.147),0.057,(0.025),0.003,(0.001),.,.,23,"92,142",Y
IDN,twostep,covs_all,(5) + education,-0.334,(.),0.057,(0.066),0.003,(0.005),14.8,.,23,"92,142",N
TZA,onestep,covs_0,"(1) no FE, no covs",-0.998,(0.145),0.539,(0.085),0.010,(0.005),.,.,26,"29,864",N
TZA,twostep,covs_0,"(1) no FE, no covs",-0.998,(0.145),0.539,(0.085),0.010,(0.005),63.0,0.000,26,"29,864",N
TZA,onestep,covs_trend,(2) + time FE,-0.406,(0.144),0.261,(0.053),0.012,(0.003),.,.,26,"29,864",Y
TZA,twostep,covs_trend,(2) + time FE,-0.697,(0.056),0.381,(0.035),0.000,(0.021),2.8,0.242,26,"29,864",Y
TZA,onestep,covs_1,(3) + female,-0.414,(0.146),0.264,(0.054),0.012,(0.003),.,.,26,"29,864",Y
TZA,twostep,covs_1,(3) + female,-0.704,(0.056),0.385,(0.036),-0.001,(0.022),2.6,0.276,26,"29,864",Y
TZA,onestep,covs_2,(4) + age^2,-0.425,(0.147),0.263,(0.052),0.012,(0.003),.,.,26,"29,864",Y
TZA,twostep,covs_2,(4) + age^2,-0.746,(0.062),0.391,(0.037),-0.006,(0.027),2.2,0.328,26,"29,864",Y
TZA,onestep,covs_all,(5) + education,-0.690,(0.087),0.259,(0.033),0.012,(0.003),.,.,26,"29,864",Y
TZA,twostep,covs_all,(5) + education,-0.662,(0.076),0.248,(0.026),0.031,(0.025),0.5,0.761,26,"29,864",Y
CHN,onestep,covs_0,"(1) no FE, no covs",-0.742,(0.126),0.398,(0.044),0.019,(0.002),.,.,29,"109,535",Y
CHN,twostep,covs_0,"(1) no FE, no covs",-0.746,(0.074),0.386,(0.030),0.008,(0.001),14.4,0.071,29,"109,535",N
CHN,onestep,covs_trend,(2) + time FE,-0.076,(0.202),0.091,(0.042),0.003,(0.002),.,.,29,"109,535",Y
CHN,twostep,covs_trend,(2) + time FE,-0.127,(0.146),0.084,(0.032),0.003,(0.001),23.6,0.001,29,"109,535",N
CHN,onestep,covs_1,(3) + female,-0.076,(0.201),0.091,(0.042),0.003,(0.002),.,.,29,"109,535",Y
CHN,twostep,covs_1,(3) + female,-0.125,(0.146),0.084,(0.032),0.003,(0.001),24.5,0.001,29,"109,535",N
CHN,onestep,covs_2,(4) + age^2,-0.130,(0.197),0.101,(0.038),0.004,(0.002),.,.,29,"109,535",Y
CHN,twostep,covs_2,(4) + age^2,-0.234,(0.102),0.043,(0.025),0.008,(0.009),7.0,0.325,29,"109,535",Y
CHN,onestep,covs_all,(5) + education,-0.155,(0.231),0.095,(0.035),0.004,(0.002),.,.,29,"109,535",Y
CHN,twostep,covs_all,(5) + education,-0.154,(0.269),0.094,(0.080),0.004,(0.004),22.0,0.001,29,"109,535",N
