ster,N,N_clust
grc_chn_cuu_c1_g,109535,.
grc_chn_cuu_c2_g,109535,.
grc_chn_cuu_ca_g,109535,.
grc_chn_cuu_ct_g,109535,.
grc_chn_rf_cuu_ca_g,80742,.
grc_chn_ro_cuu_ca_g,75748,.
grc_chn_uf_cuu_ca_g,28264,.
grc_chn_uo_cuu_ca_g,26155,.
grc_idn_cuu_birth_c1_g,92221,.
grc_idn_cuu_birth_c2_g,92210,.
grc_idn_cuu_birth_c3_g,92210,.
grc_idn_cuu_birth_ca_g,92210,.
grc_idn_cuu_c0_g,92450,.
grc_idn_cuu_c1_g,92439,.
grc_idn_cuu_c2_g,92439,.
grc_idn_cuu_ca_g,92439,.
grc_idn_cuu_ct_g,92450,.
grc_idn_cuu_expsh_c1_g,92450,.
grc_idn_cuu_expsh_c2_g,92439,.
grc_idn_cuu_expsh_c3_g,92439,.
grc_idn_cuu_expsh_ca_g,92439,.
grc_idn_cuu_exp_c1_g,92450,.
grc_idn_cuu_exp_c2_g,92439,.
grc_idn_cuu_exp_c3_g,92439,.
grc_idn_cuu_exp_ca_g,92439,.
grc_idn_cuu_maxexpsh_c1_g,92450,.
grc_idn_cuu_maxexpsh_c2_g,92439,.
grc_idn_cuu_maxexpsh_c3_g,92439,.
grc_idn_cuu_maxexpsh_ca_g,92439,.
grc_idn_cuu_maxexp_c1_g,92450,.
grc_idn_cuu_maxexp_c2_g,92439,.
grc_idn_cuu_maxexp_c3_g,92439,.
grc_idn_cuu_maxexp_ca_g,92439,.
grc_tza_cuu_c0_g,29864,.
grc_tza_cuu_c1_g,29864,.
grc_tza_cuu_c2_g,29864,.
grc_tza_cuu_ca_g,29864,.
grc_tza_cuu_ct_g,29864,.
grc_tza_cuu_expsh_c1_g,29673,.
grc_tza_cuu_expsh_c2_g,29673,.
grc_tza_cuu_expsh_c3_g,29673,.
grc_tza_cuu_expsh_ca_g,29673,.
grc_tza_cuu_exp_c1_g,29673,.
grc_tza_cuu_exp_c2_g,29673,.
grc_tza_cuu_exp_c3_g,29673,.
grc_tza_cuu_exp_ca_g,29673,.
grc_tza_cuu_maxexpsh_c1_g,29864,.
grc_tza_cuu_maxexpsh_c2_g,29864,.
grc_tza_cuu_maxexpsh_c3_g,29864,.
grc_tza_cuu_maxexpsh_ca_g,29864,.
grc_tza_cuu_maxexp_c1_g,29864,.
grc_tza_cuu_maxexp_c2_g,29864,.
grc_tza_cuu_maxexp_c3_g,29864,.
grc_tza_cuu_maxexp_ca_g,29864,.
