estname,N_base,N_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict
grc_CHN_rf_cuu_c1,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c1_n,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c1_a,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c1_d,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c1_g,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c2,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c2_n,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c2_a,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c2_d,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_c2_g,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_ca,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_ca_n,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_ca_a,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_ca_d,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_rf_cuu_ca_g,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c1,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c1_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c1_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c1_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c1_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c2,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c2_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c2_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c2_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_c2_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_ca,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_ca_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_ca_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_ca_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_CHN_uf_cuu_ca_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE
