index | b_base                   | b_new                    | equal
    1 |   8.7326001681083038e-02 |   8.7326001681083038e-02 | 1
    2 |   1.0528605796818147e-01 |   1.0528605796818147e-01 | 1
    3 |   1.0277165623195415e-01 |   1.0277165623195415e-01 | 1
    4 |   8.1379977403443826e-02 |   8.1379977403443826e-02 | 1
    5 |   5.5804821227360982e-02 |   5.5804821227360982e-02 | 1
    6 |   1.3824029152444386e-01 |   1.3824029152444386e-01 | 1
    7 |   7.1500937443169821e-02 |   7.1500937443169821e-02 | 1
    8 |   8.7115825221141779e-02 |   8.7115825221141779e-02 | 1
    9 |   1.1873953491450262e-01 |   1.1873953491450262e-01 | 1
   10 |   1.4726246339823007e-01 |   1.4726246339823007e-01 | 1
   11 |   1.1899379683278027e-01 |   1.1899379683278027e-01 | 1
   12 |   8.8864023478181939e-02 |   8.8864023478181939e-02 | 1
