index | b_base                   | b_new                    | equal
    1 |   1.0462937126934743e-01 |   1.0462937126934743e-01 | 1
    2 |   1.0132544225373842e-01 |   1.0132544225373842e-01 | 1
    3 |   1.0036446555217095e-01 |   1.0036446555217095e-01 | 1
    4 |   1.1284131219078883e-01 |   1.1284131219078883e-01 | 1
    5 |   1.1890852159139073e-01 |   1.1890852159139073e-01 | 1
    6 |   9.2393502603549491e-02 |   9.2393502603549491e-02 | 1
    7 |   1.0900141012652098e-01 |   1.0900141012652098e-01 | 1
    8 |   1.0469135281608910e-01 |   1.0469135281608910e-01 | 1
    9 |   9.6026759844060783e-02 |   9.6026759844060783e-02 | 1
   10 |   7.5004898251995425e-02 |   7.5004898251995425e-02 | 1
   11 |   9.2432618489657198e-02 |   9.2432618489657198e-02 | 1
   12 |   1.0382462377670587e-01 |   1.0382462377670587e-01 | 1
