index | b_base                   | b_new                    | equal
    1 |   9.7339755696114025e+00 |   9.7339755696114025e+00 | 1
    2 |   9.7364949273418144e+00 |   9.7364949273418144e+00 | 1
    3 |   1.0367407948128957e+01 |   1.0367407948128957e+01 | 1
    4 |   9.6579929041568029e+00 |   9.6579929041568029e+00 | 1
    5 |   1.1611020207617196e+01 |   1.1611020207617196e+01 | 1
    6 |   9.3483654674938297e+00 |   9.3483654674938297e+00 | 1
    7 |   1.0403406553897579e+01 |   1.0403406553897579e+01 | 1
    8 |   9.9821296180093970e+00 |   9.9821296180093970e+00 | 1
    9 |   9.8556675891653782e+00 |   9.8556675891653782e+00 | 1
   10 |   1.6831197172430892e-01 |   1.6831197172430892e-01 | 1
   11 |  -8.0394267827021082e-01 |  -8.0394267827021082e-01 | 1
   12 |   1.0477886986009372e+01 |   1.0477886986009372e+01 | 1
   13 |   2.9079191854214465e-01 |   2.9079191854214465e-01 | 1
   14 |   5.9137487972584479e-01 |   5.9137487972584479e-01 | 1
   15 |   8.3652288968370525e-01 |   8.3652288968370525e-01 | 1
   16 |   1.5778238919615065e-02 |   1.5778238919615065e-02 | 1
   17 |   9.7253823471316192e+00 |   9.7253823471316192e+00 | 1
   18 |   1.6303647178214756e-01 |   1.6303647178214756e-01 | 1
