cell,n_old,n_new,rows_old_only,rows_new_only,reflag_0to1,reflag_1to0,chgA_pred_drops,chgA_mismatch,lndep_sig_maxabs,nonsw_diff_bal,nonsw_diff_unb,vars_only_old,vars_only_new
chn_bal,56855,56852,3,0,0,0,0,3,9.40107474534e-07,0,0,,
chn_bal_2waves,56855,56852,3,0,0,0,0,3,9.40107474534e-07,0,0,,
chn_bal_3waves,56855,56852,3,0,0,0,0,3,9.40107474534e-07,0,0,,
chn_hukou_rural_first_bal,42407,42404,3,0,0,0,0,3,9.40107474534e-07,0,0,,
chn_hukou_rural_first_unb,80742,80742,0,0,3,0,0,0,9.40107474534e-07,0,34126,,
chn_hukou_rural_first_unb_income,25757,25757,0,0,24,0,0,0,9.40107474534e-07,0,21925,,
chn_hukou_rural_only_bal,39571,39568,3,0,0,0,0,3,9.40107474534e-07,0,0,,
chn_hukou_rural_only_unb,75748,75748,0,0,3,0,0,0,9.40107474534e-07,0,32225,,
chn_hukou_rural_only_unb_income,23481,23481,0,0,24,0,0,0,9.40107474534e-07,0,19983,,
chn_hukou_urban_first_bal,14364,14364,0,0,0,0,0,0,9.40107474534e-07,0,0,,
chn_hukou_urban_first_unb,28264,28264,0,0,0,0,0,0,9.40107474534e-07,0,13213,,
chn_hukou_urban_first_unb_income,15568,15568,0,0,8,0,0,0,9.40107474534e-07,0,14334,,
chn_hukou_urban_only_bal,13336,13336,0,0,0,0,0,0,9.40107474534e-07,0,0,,
chn_hukou_urban_only_unb,26155,26155,0,0,0,0,0,0,9.40107474534e-07,0,12232,,
chn_hukou_urban_only_unb_income,14554,14554,0,0,8,0,0,0,9.40107474534e-07,0,13469,,
chn_unb,109535,109535,0,0,3,0,0,0,9.40107474534e-07,0,47731,,
chn_unb_2waves,109535,109535,0,0,3,0,0,0,9.40107474534e-07,0,47731,,
chn_unb_3waves,109535,109535,0,0,3,0,0,0,9.40107474534e-07,0,47731,,
chn_unb_income,41406,41406,0,0,32,0,0,0,9.40107474534e-07,0,36334,,
idn_bal,16420,16275,145,0,0,0,145,0,9.40107474534e-07,0,0,,
idn_bal_2waves,16420,16275,145,0,0,0,145,0,9.40107474534e-07,0,0,,
idn_bal_3waves,16420,16275,145,0,0,0,145,0,9.40107474534e-07,0,0,,
idn_unb,93038,93038,0,0,0,0,0,0,.9985774537707677,0,0,,
idn_unb_2waves,93038,93038,0,0,145,0,0,0,9.40107474534e-07,0,55869,,
idn_unb_3waves,93038,93038,0,0,145,0,0,0,9.40107474534e-07,0,55869,,
idn_unb_income,58047,58047,0,0,135,0,0,0,1.73352376365e-06,0,37022,,
idn_unb_nonag,69685,69685,0,0,110,0,0,0,9.40107474534e-07,0,42216,,
tza_bal,23526,23526,0,0,0,0,0,0,1.58776957804e-06,0,0,,
tza_bal_2waves,23526,23526,0,0,0,0,0,0,1.58776957804e-06,0,0,,
tza_bal_3waves,23526,23526,0,0,0,0,0,0,1.58776957804e-06,0,0,,
tza_unb,29864,29864,0,0,0,0,0,0,1.58776957804e-06,0,5974,,
tza_unb_2waves,29864,29864,0,0,0,0,0,0,1.58776957804e-06,0,5974,,
tza_unb_3waves,29864,29864,0,0,0,0,0,0,1.58776957804e-06,0,5974,,
tza_unb_income,9339,9339,0,0,0,0,0,0,1.73352376365e-06,0,4096,,
