cell,varname,n_diff
chn_bal,lndepvar,55461
chn_bal_2waves,lndepvar,55461
chn_bal_3waves,lndepvar,55461
chn_hukou_rural_first_bal,lndepvar,41501
chn_hukou_rural_first_unb,lndepvar,78665
chn_hukou_rural_first_unb,unbalanced,3
chn_hukou_rural_first_unb,trajectory,3
chn_hukou_rural_first_unb,non_switcher,34126
chn_hukou_rural_first_unb_income,lndepvar,24948
chn_hukou_rural_first_unb_income,unbalanced,24
chn_hukou_rural_first_unb_income,unbalanced_choice,14
chn_hukou_rural_first_unb_income,trajectory,24
chn_hukou_rural_first_unb_income,switcher,8
chn_hukou_rural_first_unb_income,non_switcher,21925
chn_hukou_rural_only_bal,lndepvar,38745
chn_hukou_rural_only_unb,lndepvar,73837
chn_hukou_rural_only_unb,unbalanced,3
chn_hukou_rural_only_unb,trajectory,3
chn_hukou_rural_only_unb,non_switcher,32225
chn_hukou_rural_only_unb_income,lndepvar,22757
chn_hukou_rural_only_unb_income,unbalanced,24
chn_hukou_rural_only_unb_income,unbalanced_choice,14
chn_hukou_rural_only_unb_income,trajectory,24
chn_hukou_rural_only_unb_income,switcher,8
chn_hukou_rural_only_unb_income,non_switcher,19983
chn_hukou_urban_first_bal,lndepvar,13876
chn_hukou_urban_first_unb,lndepvar,27251
chn_hukou_urban_first_unb,non_switcher,13213
chn_hukou_urban_first_unb_income,lndepvar,14955
chn_hukou_urban_first_unb_income,unbalanced,8
chn_hukou_urban_first_unb_income,unbalanced_choice,6
chn_hukou_urban_first_unb_income,trajectory,8
chn_hukou_urban_first_unb_income,switcher,4
chn_hukou_urban_first_unb_income,non_switcher,14334
chn_hukou_urban_only_bal,lndepvar,12893
chn_hukou_urban_only_unb,lndepvar,25229
chn_hukou_urban_only_unb,non_switcher,12232
chn_hukou_urban_only_unb_income,lndepvar,13977
chn_hukou_urban_only_unb_income,unbalanced,8
chn_hukou_urban_only_unb_income,unbalanced_choice,6
chn_hukou_urban_only_unb_income,trajectory,8
chn_hukou_urban_only_unb_income,switcher,4
chn_hukou_urban_only_unb_income,non_switcher,13469
chn_unb,lndepvar,106417
chn_unb,unbalanced,3
chn_unb,trajectory,3
chn_unb,non_switcher,47731
chn_unb_2waves,lndepvar,106417
chn_unb_2waves,unbalanced,3
chn_unb_2waves,trajectory,3
chn_unb_2waves,non_switcher,47731
chn_unb_3waves,lndepvar,106417
chn_unb_3waves,unbalanced,3
chn_unb_3waves,trajectory,3
chn_unb_3waves,non_switcher,47731
chn_unb_income,lndepvar,39975
chn_unb_income,unbalanced,32
chn_unb_income,unbalanced_choice,20
chn_unb_income,trajectory,32
chn_unb_income,switcher,12
chn_unb_income,non_switcher,36334
idn_bal,lndepvar,15857
idn_bal_2waves,lndepvar,15857
idn_bal_3waves,lndepvar,15857
idn_unb_2waves,lndepvar,89648
idn_unb_2waves,unbalanced,145
idn_unb_2waves,unbalanced_choice,50
idn_unb_2waves,trajectory,145
idn_unb_2waves,switcher,80
idn_unb_2waves,non_switcher,55869
idn_unb_3waves,lndepvar,89648
idn_unb_3waves,unbalanced,145
idn_unb_3waves,unbalanced_choice,50
idn_unb_3waves,trajectory,145
idn_unb_3waves,switcher,80
idn_unb_3waves,non_switcher,55869
idn_unb_income,lndepvar,56043
idn_unb_income,unbalanced,135
idn_unb_income,unbalanced_choice,75
idn_unb_income,trajectory,135
idn_unb_income,switcher,55
idn_unb_income,non_switcher,37022
idn_unb_nonag,lndepvar,67575
idn_unb_nonag,unbalanced,110
idn_unb_nonag,unbalanced_choice,68
idn_unb_nonag,trajectory,110
idn_unb_nonag,switcher,35
idn_unb_nonag,non_switcher,42216
tza_bal,lndepvar,22719
tza_bal_2waves,lndepvar,22719
tza_bal_3waves,lndepvar,22719
tza_unb,lndepvar,28930
tza_unb,non_switcher,5974
tza_unb_2waves,lndepvar,28930
tza_unb_2waves,non_switcher,5974
tza_unb_3waves,lndepvar,28930
tza_unb_3waves,non_switcher,5974
tza_unb_income,lndepvar,8806
tza_unb_income,non_switcher,4096
