cell,N,max_absdiff,max_absdiff_dividetwice
chn_bal,56855,1.08603e+00,2.17206e+00
chn_bal_2waves,56855,1.08603e+00,2.17206e+00
chn_bal_3waves,56855,1.08603e+00,2.17206e+00
chn_hukou_rural_first_bal,42407,1.08603e+00,2.17206e+00
chn_hukou_rural_first_unb,80742,1.08603e+00,2.17206e+00
chn_hukou_rural_only_bal,39571,9.02684e-01,1.80537e+00
chn_hukou_rural_only_unb,75748,1.08603e+00,2.17206e+00
chn_hukou_urban_first_bal,14364,8.79686e-01,1.75937e+00
chn_hukou_urban_first_unb,28264,9.44405e-01,1.88881e+00
chn_hukou_urban_only_bal,13336,8.79686e-01,1.75937e+00
chn_hukou_urban_only_unb,26155,9.44405e-01,1.88881e+00
chn_unb,109535,1.08603e+00,2.17206e+00
chn_unb_2waves,109535,1.08603e+00,2.17206e+00
chn_unb_3waves,109535,1.08603e+00,2.17206e+00
idn_bal,16420,9.81479e-01,1.96296e+00
idn_bal_2waves,16420,9.81479e-01,1.96296e+00
idn_bal_3waves,16420,9.81479e-01,1.96296e+00
idn_unb,93038,9.98577e-01,1.99715e+00
idn_unb_2waves,93038,9.98577e-01,1.99715e+00
idn_unb_3waves,93038,9.98577e-01,1.99715e+00
idn_unb_nonag,69685,9.81479e-01,1.96296e+00
tza_bal,23526,1.33578e+00,2.67155e+00
tza_bal_2waves,23526,1.33578e+00,2.67155e+00
tza_bal_3waves,23526,1.33578e+00,2.67155e+00
tza_unb,29864,1.33578e+00,2.67155e+00
tza_unb_2waves,29864,1.33578e+00,2.67155e+00
tza_unb_3waves,29864,1.33578e+00,2.67155e+00
chn_hukou_rural_first_unb_income,25757,1.08603e+00,NA
chn_hukou_rural_only_unb_income,23481,1.08603e+00,NA
chn_hukou_urban_first_unb_income,15568,9.44405e-01,NA
chn_hukou_urban_only_unb_income,14554,9.44405e-01,NA
chn_unb_income,41406,1.08603e+00,NA
idn_unb_income,58047,9.81480e-01,NA
tza_unb_income,9339,1.33578e+00,NA
