table,panel,row,col,old,new,delta
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Urban,1,0.234,0.258,+0.024
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Urban,2,0.233,0.258,+0.025
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Urban,3,0.219,0.246,+0.027
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Urban,4,0.186,0.211,+0.025
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Urban,5,0.040,0.033,-0.007
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Urban,6,0.092,0.109,+0.017
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Observations,1,42407,42404,-3.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Observations,2,42407,42404,-3.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Observations,3,42407,42404,-3.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Observations,4,42407,42404,-3.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Observations,5,4284,4284,+0.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Observations,6,42407,42404,-3.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Individuals,1,10602,10601,-1.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Individuals,2,10602,10601,-1.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Individuals,3,10602,10601,-1.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Individuals,4,10602,10601,-1.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Individuals,5,1071,1071,+0.000
OLS_CHN_hukou_rural_first_consumption_urban_bal.tex,China,Individuals,6,10602,10601,-1.000
OLS_CHN_hukou_rural_first_consumption_urban_unb.tex,China,Urban,1,0.270,0.298,+0.028
OLS_CHN_hukou_rural_first_consumption_urban_unb.tex,China,Urban,2,0.269,0.298,+0.029
OLS_CHN_hukou_rural_first_consumption_urban_unb.tex,China,Urban,3,0.253,0.284,+0.031
OLS_CHN_hukou_rural_first_consumption_urban_unb.tex,China,Urban,4,0.224,0.251,+0.027
OLS_CHN_hukou_rural_first_consumption_urban_unb.tex,China,Urban,5,0.040,0.033,-0.007
OLS_CHN_hukou_rural_first_consumption_urban_unb.tex,China,Urban,6,0.104,0.141,+0.037
