index | b_base                   | b_new                    | equal
    1 |   8.2524935143719461e-02 |   8.2524935143719461e-02 | 1
    2 |   7.0136964641243485e-02 |   7.0136964641243485e-02 | 1
    3 |   7.2444154624462048e-02 |   7.2444154624462048e-02 | 1
    4 |   8.2600466243512999e-02 |   8.2600466243512999e-02 | 1
    5 |   1.0484267614841046e-01 |   1.0484267614841046e-01 | 1
    6 |   4.9109450917800931e-02 |   4.9109450917800931e-02 | 1
    7 |   9.3364656329358017e-02 |   9.3364656329358017e-02 | 1
    8 |   8.3313020052201772e-02 |   8.3313020052201772e-02 | 1
    9 |   6.3635284020368429e-02 |   6.3635284020368429e-02 | 1
   10 |   3.7004335028860719e-02 |   3.7004335028860719e-02 | 1
   11 |   5.2343762849015867e-02 |   5.2343762849015867e-02 | 1
   12 |   7.8889024781754177e-02 |   7.8889024781754177e-02 | 1
