index | b_base                   | b_new                    | equal
    1 |   1.0271589963257802e-01 |   1.0271589963257802e-01 | 1
    2 |   9.9511105368626659e-02 |   9.9511105368626659e-02 | 1
    3 |   9.8649514556744672e-02 |   9.8649514556744672e-02 | 1
    4 |   1.0987088451683673e-01 |   1.0987088451683673e-01 | 1
    5 |   1.1915985622970587e-01 |   1.1915985622970587e-01 | 1
    6 |   9.2862407815448716e-02 |   9.2862407815448716e-02 | 1
    7 |   1.0750303501882409e-01 |   1.0750303501882409e-01 | 1
    8 |   1.0319437861539284e-01 |   1.0319437861539284e-01 | 1
    9 |   9.3947574819357713e-02 |   9.3947574819357713e-02 | 1
   10 |   7.4628144475208449e-02 |   7.4628144475208449e-02 | 1
   11 |   9.1496798194899073e-02 |   9.1496798194899073e-02 | 1
   12 |   1.0157411304534925e-01 |   1.0157411304534925e-01 | 1
