index | b_base                   | b_new                    | equal
    1 |   9.3507627384728522e+00 |   9.3507627384728522e+00 | 1
    2 |   9.2899201247540333e+00 |   9.2899201247540333e+00 | 1
    3 |   9.8734617717563395e+00 |   9.8734617717563395e+00 | 1
    4 |   9.1627701907786623e+00 |   9.1627701907786623e+00 | 1
    5 |   1.4820776411202765e+01 |   1.4820776411202765e+01 | 1
    6 |   8.9289834002119903e+00 |   8.9289834002119903e+00 | 1
    7 |   9.8079006945130729e+00 |   9.8079006945130729e+00 | 1
    8 |   9.3843284614359881e+00 |   9.3843284614359881e+00 | 1
    9 |   9.3807327433927554e+00 |   9.3807327433927554e+00 | 1
   10 |   1.8880136996368249e-01 |   1.8880136996368249e-01 | 1
   11 |  -9.7305529874883168e-01 |  -9.7305529874883168e-01 | 1
   12 |   1.5666843479005344e+01 |   1.5666843479005344e+01 | 1
   13 |   2.8161656926957979e-01 |   2.8161656926957979e-01 | 1
   14 |   5.8108189332320981e-01 |   5.8108189332320981e-01 | 1
   15 |   8.1484007875958242e-01 |   8.1484007875958242e-01 | 1
   16 |   5.5741231080883566e-02 |   5.5741231080883566e-02 | 1
   17 |   2.8024951835323268e-05 |   2.8024951835323268e-05 | 1
   18 |   1.1910387342462591e-02 |   1.1910387342462591e-02 | 1
   19 |   2.0282027707712166e-03 |   2.0282027707712166e-03 | 1
   20 |   9.2943631578582533e+00 |   9.2943631578582533e+00 | 1
   21 |   9.8036716781021341e-02 |   9.8036716781021341e-02 | 1
