index | b_base                   | b_new                    | equal
    1 |   1.0634201119295220e+01 |   1.0634201119295220e+01 | 1
    2 |   1.0668163335084637e+01 |   1.0668163335084637e+01 | 1
    3 |   1.0719098116114683e+01 |   1.0719098116114683e+01 | 1
    4 |   1.0751874368652771e+01 |   1.0751874368652771e+01 | 1
    5 |   1.0729101000693836e+01 |   1.0729101000693836e+01 | 1
    6 |   1.0910162500472493e+01 |   1.0910162500472493e+01 | 1
    7 |   1.0603880872038156e+01 |   1.0603880872038156e+01 | 1
    8 |   1.0829818807399718e+01 |   1.0829818807399718e+01 | 1
    9 |   1.0683803317761171e+01 |   1.0683803317761171e+01 | 1
   10 |   1.0654369926684213e+01 |   1.0654369926684213e+01 | 1
   11 |   1.1069305159426531e+01 |   1.1069305159426531e+01 | 1
   12 |   1.0684244374952716e+01 |   1.0684244374952716e+01 | 1
   13 |   1.0756002276807033e+01 |   1.0756002276807033e+01 | 1
   14 |   1.0568714720664397e+01 |   1.0568714720664397e+01 | 1
   15 |   1.0652330170568346e+01 |   1.0652330170568346e+01 | 1
   16 |   1.0832082672124059e+01 |   1.0832082672124059e+01 | 1
   17 |   1.0706746756149533e+01 |   1.0706746756149533e+01 | 1
   18 |   1.0744533958415158e+01 |   1.0744533958415158e+01 | 1
   19 |   1.1412247833771920e+01 |   1.1412247833771920e+01 | 1
   20 |   1.0786650364272800e+01 |   1.0786650364272800e+01 | 1
   21 |   1.0549908641434170e+01 |   1.0549908641434170e+01 | 1
   22 |   1.0663070933670074e+01 |   1.0663070933670074e+01 | 1
   23 |   1.0600235119299411e+01 |   1.0600235119299411e+01 | 1
   24 |   1.0827852254971125e+01 |   1.0827852254971125e+01 | 1
   25 |   1.0826069598946999e+01 |   1.0826069598946999e+01 | 1
   26 |   1.0845970387981511e+01 |   1.0845970387981511e+01 | 1
   27 |   1.0787173607916907e+01 |   1.0787173607916907e+01 | 1
   28 |   1.0766694125908758e+01 |   1.0766694125908758e+01 | 1
   29 |   1.0813644146965714e+01 |   1.0813644146965714e+01 | 1
   30 |   1.0779535537525671e+01 |   1.0779535537525671e+01 | 1
   31 |   1.0844269641883093e+01 |   1.0844269641883093e+01 | 1
   32 |  -3.6571911969456722e-02 |  -3.6571911969456722e-02 | 1
   33 |   9.1996739871019617e-01 |   9.1996739871019617e-01 | 1
   34 |   1.0889965245376041e+01 |   1.0889965245376041e+01 | 1
   35 |   2.9637384365941288e-01 |   2.9637384365941288e-01 | 1
   36 |   4.8375365553587096e-01 |   4.8375365553587096e-01 | 1
   37 |   6.8944002679320426e-01 |   6.8944002679320426e-01 | 1
   38 |   1.1752450632555402e+00 |   1.1752450632555402e+00 | 1
   39 |  -7.6857846385838804e-03 |  -7.6857846385838804e-03 | 1
   40 |   2.1306636518731741e-05 |   2.1306636518731741e-05 | 1
   41 |   1.0602653660514994e+01 |   1.0602653660514994e+01 | 1
   42 |   4.6600564684403167e-01 |   4.6600564684403167e-01 | 1
