index | b_base                   | b_new                    | equal
    1 |  -3.6571911969456722e-02 |  -3.6571911969456722e-02 | 1
    2 |   1.0286426038627942e-02 |   1.0286426038627942e-02 | 1
    3 |   4.0439509825561562e-02 |   4.0439509825561562e-02 | 1
    4 |   1.9488753744509764e-02 |   1.9488753744509764e-02 | 1
    5 |   1.8605943070244785e-01 |   1.8605943070244785e-01 | 1
    6 |  -9.5709682281012676e-02 |  -9.5709682281012676e-02 | 1
    7 |   1.1214585238351640e-01 |   1.1214585238351640e-01 | 1
    8 |  -2.2183637790653112e-02 |  -2.2183637790653112e-02 | 1
    9 |  -4.9261398014942448e-02 |  -4.9261398014942448e-02 | 1
   10 |   3.3246548868421744e-01 |   3.3246548868421744e-01 | 1
   11 |  -2.1777879553465676e-02 |  -2.1777879553465676e-02 | 1
   12 |   4.4237050752352167e-02 |   4.4237050752352167e-02 | 1
   13 |  -1.2806139508297801e-01 |  -1.2806139508297801e-01 | 1
   14 |  -5.1137907142859554e-02 |  -5.1137907142859554e-02 | 1
   15 |   1.1422853412500031e-01 |   1.1422853412500031e-01 | 1
   16 |  -1.0764224590442753e-03 |  -1.0764224590442753e-03 | 1
   17 |   3.3686571713798311e-02 |   3.3686571713798311e-02 | 1
   18 |   6.4796156870846300e-01 |   6.4796156870846300e-01 | 1
   19 |   7.2432292053676683e-02 |   7.2432292053676683e-02 | 1
   20 |  -1.4536237487234815e-01 |  -1.4536237487234815e-01 | 1
   21 |  -4.1256755252000593e-02 |  -4.1256755252000593e-02 | 1
   22 |  -9.9063655944416296e-02 |  -9.9063655944416296e-02 | 1
   23 |   1.1033668826135648e-01 |   1.1033668826135648e-01 | 1
   24 |   1.0869670283604616e-01 |   1.0869670283604616e-01 | 1
   25 |   1.2700477995640674e-01 |   1.2700477995640674e-01 | 1
   26 |   7.2913659147837387e-02 |   7.2913659147837387e-02 | 1
   27 |   5.4073203357868416e-02 |   5.4073203357868416e-02 | 1
   28 |   9.7265692099025164e-02 |   9.7265692099025164e-02 | 1
   29 |   6.5886883398846657e-02 |   6.5886883398846657e-02 | 1
   30 |   1.2544014899237843e-01 |   1.2544014899237843e-01 | 1
