index | b_base                   | b_new                    | equal
    1 |   6.2339419505299559e-02 |   6.2339419505299559e-02 | 1
    2 |  -6.7653560075883495e-02 |  -6.7653560075883495e-02 | 1
    3 |   7.7591843466572177e-02 |   7.7591843466572177e-02 | 1
    4 |  -4.8236071810594056e-02 |  -4.8236071810594056e-02 | 1
    5 |   4.3176182347080683e-01 |   4.3176182347080683e-01 | 1
    6 |  -1.2243009566168872e-01 |  -1.2243009566168872e-01 | 1
    7 |   2.0708681136868987e-01 |   2.0708681136868987e-01 | 1
    8 |  -1.2547813203583155e-02 |  -1.2547813203583155e-02 | 1
    9 |  -9.8250879168647470e-02 |  -9.8250879168647470e-02 | 1
   10 |   6.0515406380672085e-02 |   6.0515406380672085e-02 | 1
   11 |  -5.9714017815679643e-02 |  -5.9714017815679643e-02 | 1
   12 |   1.7804147632922741e-02 |   1.7804147632922741e-02 | 1
   13 |  -1.2782303402137296e-01 |  -1.2782303402137296e-01 | 1
   14 |  -7.1304163107414525e-02 |  -7.1304163107414525e-02 | 1
   15 |   1.2609271224037283e-01 |   1.2609271224037283e-01 | 1
   16 |  -8.6031780610824893e-02 |  -8.6031780610824893e-02 | 1
   17 |   6.0323697459660180e-02 |   6.0323697459660180e-02 | 1
   18 |   1.3446054346245815e+00 |   1.3446054346245815e+00 | 1
   19 |   7.8855629126999754e-02 |   7.8855629126999754e-02 | 1
   20 |  -2.3437765867715046e-01 |  -2.3437765867715046e-01 | 1
   21 |  -1.0406900895071017e-01 |  -1.0406900895071017e-01 | 1
   22 |  -2.9791451932986224e-01 |  -2.9791451932986224e-01 | 1
   23 |   1.1275002662334793e-01 |   1.1275002662334793e-01 | 1
   24 |   1.4142526312533418e-01 |   1.4142526312533418e-01 | 1
   25 |   1.7886116952206987e-01 |   1.7886116952206987e-01 | 1
   26 |  -6.1798947322898826e-02 |  -6.1798947322898826e-02 | 1
   27 |   8.3249010168345142e-02 |   8.3249010168345142e-02 | 1
   28 |   7.7259104265208711e-02 |   7.7259104265208711e-02 | 1
   29 |   5.3667782817852741e-02 |   5.3667782817852741e-02 | 1
   30 |   1.2269535018915470e-01 |   1.2269535018915470e-01 | 1
