index | b_base                   | b_new                    | equal
    1 |   1.0675759422701370e+01 |   1.0675759422701370e+01 | 1
    2 |   1.0703760775731791e+01 |   1.0703760775731791e+01 | 1
    3 |   1.0764210378367576e+01 |   1.0764210378367576e+01 | 1
    4 |   1.0795899721051997e+01 |   1.0795899721051997e+01 | 1
    5 |   1.0764784975825547e+01 |   1.0764784975825547e+01 | 1
    6 |   1.0944455630991193e+01 |   1.0944455630991193e+01 | 1
    7 |   1.0648680120703508e+01 |   1.0648680120703508e+01 | 1
    8 |   1.0869667158360901e+01 |   1.0869667158360901e+01 | 1
    9 |   1.0719675385621915e+01 |   1.0719675385621915e+01 | 1
   10 |   1.0698699835800065e+01 |   1.0698699835800065e+01 | 1
   11 |   1.1108938003858915e+01 |   1.1108938003858915e+01 | 1
   12 |   1.0724926168605688e+01 |   1.0724926168605688e+01 | 1
   13 |   1.0789868043978629e+01 |   1.0789868043978629e+01 | 1
   14 |   1.0603317792242734e+01 |   1.0603317792242734e+01 | 1
   15 |   1.0686768179319852e+01 |   1.0686768179319852e+01 | 1
   16 |   1.0871975385770998e+01 |   1.0871975385770998e+01 | 1
   17 |   1.0743724799957789e+01 |   1.0743724799957789e+01 | 1
   18 |   1.0783856345872884e+01 |   1.0783856345872884e+01 | 1
   19 |   1.1444345698308773e+01 |   1.1444345698308773e+01 | 1
   20 |   1.0830347445843044e+01 |   1.0830347445843044e+01 | 1
   21 |   1.0585366552147013e+01 |   1.0585366552147013e+01 | 1
   22 |   1.0713816869861798e+01 |   1.0713816869861798e+01 | 1
   23 |   1.0638926277756850e+01 |   1.0638926277756850e+01 | 1
   24 |   1.0867484451415750e+01 |   1.0867484451415750e+01 | 1
   25 |   1.0861459999632752e+01 |   1.0861459999632752e+01 | 1
   26 |   1.0882646661905651e+01 |   1.0882646661905651e+01 | 1
   27 |   1.0814292582292547e+01 |   1.0814292582292547e+01 | 1
   28 |   1.0805108835020810e+01 |   1.0805108835020810e+01 | 1
   29 |   1.0851144306492388e+01 |   1.0851144306492388e+01 | 1
   30 |   1.0815193687908637e+01 |   1.0815193687908637e+01 | 1
   31 |   1.0884136721033034e+01 |   1.0884136721033034e+01 | 1
   32 |  -3.9690994374876193e-02 |  -3.9690994374876193e-02 | 1
   33 |   9.0676298728830895e-01 |   9.0676298728830895e-01 | 1
   34 |   1.0926572683757334e+01 |   1.0926572683757334e+01 | 1
   35 |   2.9802616965380735e-01 |   2.9802616965380735e-01 | 1
   36 |   4.8520373963425723e-01 |   4.8520373963425723e-01 | 1
   37 |   6.9418766766218376e-01 |   6.9418766766218376e-01 | 1
   38 |   1.1872512427339850e+00 |   1.1872512427339850e+00 | 1
   39 |   1.0639037664355676e+01 |   1.0639037664355676e+01 | 1
   40 |   4.5786021114903558e-01 |   4.5786021114903558e-01 | 1
