index | b_base                   | b_new                    | equal
    1 |  -3.9690994374876193e-02 |  -3.9690994374876193e-02 | 1
    2 |   1.5122467891539475e-02 |   1.5122467891539475e-02 | 1
    3 |   4.3857190929268305e-02 |   4.3857190929268305e-02 | 1
    4 |   1.5643491599017879e-02 |   1.5643491599017879e-02 | 1
    5 |   1.7856219160506664e-01 |   1.7856219160506664e-01 | 1
    6 |  -8.9636093670118461e-02 |  -8.9636093670118461e-02 | 1
    7 |   1.1074677274809305e-01 |   1.1074677274809305e-01 | 1
    8 |  -2.5260215169378736e-02 |  -2.5260215169378736e-02 | 1
    9 |  -4.4280067385854410e-02 |  -4.4280067385854410e-02 | 1
   10 |   3.2770871938287183e-01 |   3.2770871938287183e-01 | 1
   11 |  -2.0498999505410800e-02 |  -2.0498999505410800e-02 | 1
   12 |   3.8387889407862585e-02 |   3.8387889407862585e-02 | 1
   13 |  -1.3076897413556343e-01 |  -1.3076897413556343e-01 | 1
   14 |  -5.5099251859150253e-02 |  -5.5099251859150253e-02 | 1
   15 |   1.1283978792981353e-01 |   1.1283978792981353e-01 | 1
   16 |  -3.4530963836475054e-03 |  -3.4530963836475054e-03 | 1
   17 |   3.2936704074822007e-02 |   3.2936704074822007e-02 | 1
   18 |   6.3184400236170901e-01 |   6.3184400236170901e-01 | 1
   19 |   7.5093112766083492e-02 |   7.5093112766083492e-02 | 1
   20 |  -1.4704649423028918e-01 |  -1.4704649423028918e-01 | 1
   21 |  -3.0572500421098246e-02 |  -3.0572500421098246e-02 | 1
   22 |  -9.8480517437971218e-02 |  -9.8480517437971218e-02 | 1
   23 |   1.0876757487813321e-01 |   1.0876757487813321e-01 | 1
   24 |   1.0330482498260701e-01 |   1.0330482498260701e-01 | 1
   25 |   1.2251610615585012e-01 |   1.2251610615585012e-01 | 1
   26 |   6.0535156732528336e-02 |   6.0535156732528336e-02 | 1
   27 |   5.2207674621907951e-02 |   5.2207674621907951e-02 | 1
   28 |   9.3950936254701772e-02 |   9.3950936254701772e-02 | 1
   29 |   6.1352245952837101e-02 |   6.1352245952837101e-02 | 1
   30 |   1.2386723662143173e-01 |   1.2386723662143173e-01 | 1
