index | b_base                   | b_new                    | equal
    1 |   3.7828671466852544e-02 |   3.7828671466852544e-02 | 1
    2 |  -8.7266939576219893e-03 |  -8.7266939576219893e-03 | 1
    3 |   3.8214910815404200e-02 |   3.8214910815404200e-02 | 1
    4 |   1.2917460512502889e-02 |   1.2917460512502889e-02 | 1
    5 |   4.0362112403197828e-02 |   4.0362112403197828e-02 | 1
    6 |   1.9438437896816055e-02 |   1.9438437896816055e-02 | 1
    7 |   1.5231771770810264e-02 |   1.5231771770810264e-02 | 1
    8 |   4.8631981920839729e-02 |   4.8631981920839729e-02 | 1
    9 |   2.2066796222663814e-02 |   2.2066796222663814e-02 | 1
   10 |  -5.2566726004249810e-02 |  -5.2566726004249810e-02 | 1
   11 |  -1.1323853410955952e-02 |  -1.1323853410955952e-02 | 1
   12 |   1.0839626657628149e-01 |   1.0839626657628149e-01 | 1
   13 |   7.5634400062519702e-02 |   7.5634400062519702e-02 | 1
   14 |   2.0843319961669111e-02 |   2.0843319961669111e-02 | 1
   15 |  -6.5932299543040862e-05 |  -6.5932299543040862e-05 | 1
   16 |   3.7699705451127934e-02 |   3.7699705451127934e-02 | 1
   17 |   1.3295953946945837e-02 |   1.3295953946945837e-02 | 1
   18 |   4.2423261585814470e-02 |   4.2423261585814470e-02 | 1
   19 |   5.1966473449456679e-03 |   5.1966473449456679e-03 | 1
   20 |   4.9600564248861487e-02 |   4.9600564248861487e-02 | 1
   21 |  -5.0808212438745330e-02 |  -5.0808212438745330e-02 | 1
   22 |   3.1932826849851992e-02 |   3.1932826849851992e-02 | 1
   23 |  -8.7915394952540471e-03 |  -8.7915394952540471e-03 | 1
   24 |   7.6907068704569481e-04 |   7.6907068704569481e-04 | 1
   25 |   2.1853921476795227e-02 |   2.1853921476795227e-02 | 1
   26 |  -1.2394231464553543e-01 |  -1.2394231464553543e-01 | 1
   27 |  -4.3007954999764710e-02 |  -4.3007954999764710e-02 | 1
   28 |   2.9719159528491593e-02 |   2.9719159528491593e-02 | 1
   29 |  -4.6153208795109639e-02 |  -4.6153208795109639e-02 | 1
   30 |  -6.2192629485243629e-02 |  -6.2192629485243629e-02 | 1
