index | b_base                   | b_new                    | equal
    1 |   1.0436674893202126e+01 |   1.0436674893202126e+01 | 1
    2 |   1.0455845508694484e+01 |   1.0455845508694484e+01 | 1
    3 |   1.0673103556552759e+01 |   1.0673103556552759e+01 | 1
    4 |   1.0436045851947558e+01 |   1.0436045851947558e+01 | 1
    5 |   1.0574886735150535e+01 |   1.0574886735150535e+01 | 1
    6 |   1.0380802933382713e+01 |   1.0380802933382713e+01 | 1
    7 |   1.0284183335845638e+01 |   1.0284183335845638e+01 | 1
    8 |   1.0494071676927483e+01 |   1.0494071676927483e+01 | 1
    9 |   1.0334871097230057e+01 |   1.0334871097230057e+01 | 1
   10 |   1.0462451348236465e+01 |   1.0462451348236465e+01 | 1
   11 |   1.1051600472791328e+01 |   1.1051600472791328e+01 | 1
   12 |   1.0644911467964926e+01 |   1.0644911467964926e+01 | 1
   13 |   1.0195164078536402e+01 |   1.0195164078536402e+01 | 1
   14 |   1.0166767807609169e+01 |   1.0166767807609169e+01 | 1
   15 |   1.0443438309004721e+01 |   1.0443438309004721e+01 | 1
   16 |   1.0548877351463027e+01 |   1.0548877351463027e+01 | 1
   17 |   1.0487837039257352e+01 |   1.0487837039257352e+01 | 1
   18 |   1.0562049962176872e+01 |   1.0562049962176872e+01 | 1
   19 |   1.0494499147617397e+01 |   1.0494499147617397e+01 | 1
   20 |   1.0519130701747008e+01 |   1.0519130701747008e+01 | 1
   21 |   1.0458196440371690e+01 |   1.0458196440371690e+01 | 1
   22 |   1.0794084499476854e+01 |   1.0794084499476854e+01 | 1
   23 |   1.0492176534141397e+01 |   1.0492176534141397e+01 | 1
   24 |   1.0593366585124299e+01 |   1.0593366585124299e+01 | 1
   25 |   1.0622976978466829e+01 |   1.0622976978466829e+01 | 1
   26 |   1.0513527215055486e+01 |   1.0513527215055486e+01 | 1
   27 |   1.0930802944603125e+01 |   1.0930802944603125e+01 | 1
   28 |   1.0711117229957461e+01 |   1.0711117229957461e+01 | 1
   29 |   1.0459641955501667e+01 |   1.0459641955501667e+01 | 1
   30 |   1.0695911409138363e+01 |   1.0695911409138363e+01 | 1
   31 |   1.0759872405539829e+01 |   1.0759872405539829e+01 | 1
   32 |   3.1166598552128413e-02 |   3.1166598552128413e-02 | 1
   33 |  -2.9683179912565927e-01 |  -2.9683179912565927e-01 | 1
   34 |   1.0708489164918408e+01 |   1.0708489164918408e+01 | 1
   35 |   2.9401495550072154e-01 |   2.9401495550072154e-01 | 1
   36 |   4.2030024289440510e-01 |   4.2030024289440510e-01 | 1
   37 |   6.4742013710117774e-01 |   6.4742013710117774e-01 | 1
   38 |   1.0918836425855347e+00 |   1.0918836425855347e+00 | 1
   39 |   1.0349862954240403e-01 |   1.0349862954240403e-01 | 1
   40 |   5.8123612184145247e-05 |   5.8123612184145247e-05 | 1
   41 |   2.3378568772397558e-02 |   2.3378568772397558e-02 | 1
   42 |   1.9884535462084212e-03 |   1.9884535462084212e-03 | 1
   43 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
