index | b_base                   | b_new                    | equal
    1 |   1.0899363439081048e+01 |   1.0899363439081048e+01 | 1
    2 |   1.0937282271167144e+01 |   1.0937282271167144e+01 | 1
    3 |   1.1163436614087059e+01 |   1.1163436614087059e+01 | 1
    4 |   1.0930973233917614e+01 |   1.0930973233917614e+01 | 1
    5 |   1.1087164300545760e+01 |   1.1087164300545760e+01 | 1
    6 |   1.0891379926804030e+01 |   1.0891379926804030e+01 | 1
    7 |   1.1023401687629578e+01 |   1.1023401687629578e+01 | 1
    8 |   1.1032908990362557e+01 |   1.1032908990362557e+01 | 1
    9 |   1.0894686780854352e+01 |   1.0894686780854352e+01 | 1
   10 |   1.1020251616376397e+01 |   1.1020251616376397e+01 | 1
   11 |   1.1465548916699142e+01 |   1.1465548916699142e+01 | 1
   12 |   1.1176392403563325e+01 |   1.1176392403563325e+01 | 1
   13 |   1.0593532648161167e+01 |   1.0593532648161167e+01 | 1
   14 |   1.0732016563116579e+01 |   1.0732016563116579e+01 | 1
   15 |   1.1096083786276884e+01 |   1.1096083786276884e+01 | 1
   16 |   1.1080367298603125e+01 |   1.1080367298603125e+01 | 1
   17 |   1.0966141621205571e+01 |   1.0966141621205571e+01 | 1
   18 |   1.1100280241726928e+01 |   1.1100280241726928e+01 | 1
   19 |   1.0889140850403408e+01 |   1.0889140850403408e+01 | 1
   20 |   1.1078512710975538e+01 |   1.1078512710975538e+01 | 1
   21 |   1.0862945058409046e+01 |   1.0862945058409046e+01 | 1
   22 |   1.1421263425835535e+01 |   1.1421263425835535e+01 | 1
   23 |   1.0981849268081522e+01 |   1.0981849268081522e+01 | 1
   24 |   1.1189081190584005e+01 |   1.1189081190584005e+01 | 1
   25 |   1.1117410537142247e+01 |   1.1117410537142247e+01 | 1
   26 |   1.1040133022733318e+01 |   1.1040133022733318e+01 | 1
   27 |   1.1773317228265306e+01 |   1.1773317228265306e+01 | 1
   28 |   1.1331632828800931e+01 |   1.1331632828800931e+01 | 1
   29 |   1.1000507715097944e+01 |   1.1000507715097944e+01 | 1
   30 |   1.1387386638208852e+01 |   1.1387386638208852e+01 | 1
   31 |   1.1428357358523092e+01 |   1.1428357358523092e+01 | 1
   32 |   7.2129503412431642e-02 |   7.2129503412431642e-02 | 1
   33 |  -3.0853513590685361e-01 |  -3.0853513590685361e-01 | 1
   34 |   1.1347573201943295e+01 |   1.1347573201943295e+01 | 1
   35 |   2.1119173940316813e-01 |   2.1119173940316813e-01 | 1
   36 |   3.8358646212788788e-01 |   3.8358646212788788e-01 | 1
   37 |   5.9943664835499011e-01 |   5.9943664835499011e-01 | 1
   38 |   1.1002702496684200e+00 |   1.1002702496684200e+00 | 1
   39 |  -9.2224224653965018e-03 |  -9.2224224653965018e-03 | 1
   40 |   1.0860679785900459e+01 |   1.0860679785900459e+01 | 1
   41 |   2.6132775745283793e-01 |   2.6132775745283793e-01 | 1
