index | b_base                   | b_new                    | equal
    1 |   1.0514363664405082e+01 |   1.0514363664405082e+01 | 1
    2 |   1.0521279543332833e+01 |   1.0521279543332833e+01 | 1
    3 |   1.0740542008068479e+01 |   1.0740542008068479e+01 | 1
    4 |   1.0497564508353946e+01 |   1.0497564508353946e+01 | 1
    5 |   1.0652611861488559e+01 |   1.0652611861488559e+01 | 1
    6 |   1.0388053166807197e+01 |   1.0388053166807197e+01 | 1
    7 |   1.0322846834812118e+01 |   1.0322846834812118e+01 | 1
    8 |   1.0542192130730159e+01 |   1.0542192130730159e+01 | 1
    9 |   1.0415518729604857e+01 |   1.0415518729604857e+01 | 1
   10 |   1.0515032116557006e+01 |   1.0515032116557006e+01 | 1
   11 |   1.1443514855726628e+01 |   1.1443514855726628e+01 | 1
   12 |   1.0698304436269442e+01 |   1.0698304436269442e+01 | 1
   13 |   1.0284165118734284e+01 |   1.0284165118734284e+01 | 1
   14 |   1.0202155507203916e+01 |   1.0202155507203916e+01 | 1
   15 |   1.0491374047836546e+01 |   1.0491374047836546e+01 | 1
   16 |   1.0567887461633154e+01 |   1.0567887461633154e+01 | 1
   17 |   1.0591048733303067e+01 |   1.0591048733303067e+01 | 1
   18 |   1.0686311933854492e+01 |   1.0686311933854492e+01 | 1
   19 |   1.0492423477118397e+01 |   1.0492423477118397e+01 | 1
   20 |   1.0549283726450138e+01 |   1.0549283726450138e+01 | 1
   21 |   1.0493606220643660e+01 |   1.0493606220643660e+01 | 1
   22 |   1.0949660987675310e+01 |   1.0949660987675310e+01 | 1
   23 |   1.0566789108815254e+01 |   1.0566789108815254e+01 | 1
   24 |   1.0703912116847345e+01 |   1.0703912116847345e+01 | 1
   25 |   1.0694301091354051e+01 |   1.0694301091354051e+01 | 1
   26 |   1.0606712796786674e+01 |   1.0606712796786674e+01 | 1
   27 |   1.0995479009934453e+01 |   1.0995479009934453e+01 | 1
   28 |   1.0776683149366246e+01 |   1.0776683149366246e+01 | 1
   29 |   1.0574802916712176e+01 |   1.0574802916712176e+01 | 1
   30 |   1.0820783999767233e+01 |   1.0820783999767233e+01 | 1
   31 |   1.0809119777859328e+01 |   1.0809119777859328e+01 | 1
   32 |   6.3506462676633207e-02 |   6.3506462676633207e-02 | 1
   33 |  -4.9130005949069422e-01 |  -4.9130005949069422e-01 | 1
   34 |   1.0816651483548615e+01 |   1.0816651483548615e+01 | 1
   35 |   2.0174884274367344e-01 |   2.0174884274367344e-01 | 1
   36 |   3.4791057799390368e-01 |   3.4791057799390368e-01 | 1
   37 |   5.1385758974159113e-01 |   5.1385758974159113e-01 | 1
   38 |   9.8347367197000113e-01 |   9.8347367197000113e-01 | 1
   39 |   5.4660999490990674e-02 |   5.4660999490990674e-02 | 1
   40 |   6.8534678355376718e-05 |   6.8534678355376718e-05 | 1
   41 |   2.0907794725172148e-02 |   2.0907794725172148e-02 | 1
   42 |   2.3662407344754366e-03 |   2.3662407344754366e-03 | 1
   43 |   1.0461521453956342e+01 |   1.0461521453956342e+01 | 1
   44 |   1.1952438729045375e-01 |   1.1952438729045375e-01 | 1
