index | b_base                   | b_new                    | equal
    1 |   1.0894901908419342e+01 |   1.0894901908419342e+01 | 1
    2 |   1.0933636323089042e+01 |   1.0933636323089042e+01 | 1
    3 |   1.1158474026431305e+01 |   1.1158474026431305e+01 | 1
    4 |   1.0926386601558487e+01 |   1.0926386601558487e+01 | 1
    5 |   1.1082610447897402e+01 |   1.1082610447897402e+01 | 1
    6 |   1.0890178796326527e+01 |   1.0890178796326527e+01 | 1
    7 |   1.1019235172337183e+01 |   1.1019235172337183e+01 | 1
    8 |   1.1028430513613573e+01 |   1.1028430513613573e+01 | 1
    9 |   1.0890109705942184e+01 |   1.0890109705942184e+01 | 1
   10 |   1.1015815862347056e+01 |   1.1015815862347056e+01 | 1
   11 |   1.1454139962879593e+01 |   1.1454139962879593e+01 | 1
   12 |   1.1172882338793471e+01 |   1.1172882338793471e+01 | 1
   13 |   1.0589254601627060e+01 |   1.0589254601627060e+01 | 1
   14 |   1.0726955523657539e+01 |   1.0726955523657539e+01 | 1
   15 |   1.1092827483007285e+01 |   1.1092827483007285e+01 | 1
   16 |   1.1075308246273194e+01 |   1.1075308246273194e+01 | 1
   17 |   1.0960996667227276e+01 |   1.0960996667227276e+01 | 1
   18 |   1.1095576271468254e+01 |   1.1095576271468254e+01 | 1
   19 |   1.0885297785240693e+01 |   1.0885297785240693e+01 | 1
   20 |   1.1074990891315027e+01 |   1.1074990891315027e+01 | 1
   21 |   1.0860108052412143e+01 |   1.0860108052412143e+01 | 1
   22 |   1.1414264628361504e+01 |   1.1414264628361504e+01 | 1
   23 |   1.0976519545400324e+01 |   1.0976519545400324e+01 | 1
   24 |   1.1184003276246898e+01 |   1.1184003276246898e+01 | 1
   25 |   1.1113957431868961e+01 |   1.1113957431868961e+01 | 1
   26 |   1.1035298280695057e+01 |   1.1035298280695057e+01 | 1
   27 |   1.1768958753430217e+01 |   1.1768958753430217e+01 | 1
   28 |   1.1326018092917286e+01 |   1.1326018092917286e+01 | 1
   29 |   1.0995078701920324e+01 |   1.0995078701920324e+01 | 1
   30 |   1.1381525451477783e+01 |   1.1381525451477783e+01 | 1
   31 |   1.1423560042246759e+01 |   1.1423560042246759e+01 | 1
   32 |   7.1765981034814103e-02 |   7.1765981034814103e-02 | 1
   33 |  -3.0809694031290841e-01 |  -3.0809694031290841e-01 | 1
   34 |   1.1342460344998701e+01 |   1.1342460344998701e+01 | 1
   35 |   2.1111469988414128e-01 |   2.1111469988414128e-01 | 1
   36 |   3.8346285035987038e-01 |   3.8346285035987038e-01 | 1
   37 |   5.9935993708670665e-01 |   5.9935993708670665e-01 | 1
   38 |   1.1004608569660934e+00 |   1.1004608569660934e+00 | 1
   39 |   1.0855941374779043e+01 |   1.0855941374779043e+01 | 1
   40 |   2.6160294021126002e-01 |   2.6160294021126002e-01 | 1
