index | b_base                   | b_new                    | equal
    1 |   7.1765981034814103e-02 |   7.1765981034814103e-02 | 1
    2 |   2.4941725680813348e-03 |   2.4941725680813348e-03 | 1
    3 |   7.3999598056498486e-02 |   7.3999598056498486e-02 | 1
    4 |   2.5867508995565038e-02 |   2.5867508995565038e-02 | 1
    5 |   8.5155112063911173e-02 |   8.5155112063911173e-02 | 1
    6 |   4.5393237487155895e-02 |   4.5393237487155895e-02 | 1
    7 |   4.2560180974767048e-02 |   4.2560180974767048e-02 | 1
    8 |   8.5176398599932437e-02 |   8.5176398599932437e-02 | 1
    9 |   4.6446716433095378e-02 |   4.6446716433095378e-02 | 1
   10 |  -8.8599597806386848e-02 |  -8.8599597806386848e-02 | 1
   11 |  -1.9449843857746174e-03 |  -1.9449843857746174e-03 | 1
   12 |   1.7786893571694301e-01 |   1.7786893571694301e-01 | 1
   13 |   1.3544370296108599e-01 |   1.3544370296108599e-01 | 1
   14 |   2.2719671739140274e-02 |   2.2719671739140274e-02 | 1
   15 |   2.8117294973531513e-02 |   2.8117294973531513e-02 | 1
   16 |   6.3336342719915936e-02 |   6.3336342719915936e-02 | 1
   17 |   2.1872778424748593e-02 |   2.1872778424748593e-02 | 1
   18 |   8.6658936645089932e-02 |   8.6658936645089932e-02 | 1
   19 |   2.8215071065135822e-02 |   2.8215071065135822e-02 | 1
   20 |   9.4419816256866074e-02 |   9.4419816256866074e-02 | 1
   21 |  -7.6314129247410156e-02 |  -7.6314129247410156e-02 | 1
   22 |   5.8553791449949849e-02 |   5.8553791449949849e-02 | 1
   23 |  -5.3713111885866777e-03 |  -5.3713111885866777e-03 | 1
   24 |   1.6209599145889791e-02 |   1.6209599145889791e-02 | 1
   25 |   4.0444242950180023e-02 |   4.0444242950180023e-02 | 1
   26 |  -1.8559430392804468e-01 |  -1.8559430392804468e-01 | 1
   27 |  -4.9125641683831794e-02 |  -4.9125641683831794e-02 | 1
   28 |   5.2835772111349405e-02 |   5.2835772111349405e-02 | 1
   29 |  -6.6227289021172531e-02 |  -6.6227289021172531e-02 | 1
   30 |  -7.9178017824399288e-02 |  -7.9178017824399288e-02 | 1
