index | b_base                   | b_new                    | equal
    1 |   1.0905755287321107e+01 |   1.0905755287321107e+01 | 1
    2 |   1.0943638216730536e+01 |   1.0943638216730536e+01 | 1
    3 |   1.1171368094420423e+01 |   1.1171368094420423e+01 | 1
    4 |   1.0937816476218259e+01 |   1.0937816476218259e+01 | 1
    5 |   1.1095816218788574e+01 |   1.1095816218788574e+01 | 1
    6 |   1.0894082431501843e+01 |   1.0894082431501843e+01 | 1
    7 |   1.1031674282963872e+01 |   1.1031674282963872e+01 | 1
    8 |   1.1040279663839939e+01 |   1.1040279663839939e+01 | 1
    9 |   1.0900107618197024e+01 |   1.0900107618197024e+01 | 1
   10 |   1.1024155271428180e+01 |   1.1024155271428180e+01 | 1
   11 |   1.1456069417014556e+01 |   1.1456069417014556e+01 | 1
   12 |   1.1183462542639774e+01 |   1.1183462542639774e+01 | 1
   13 |   1.0604582805195259e+01 |   1.0604582805195259e+01 | 1
   14 |   1.0734062004082853e+01 |   1.0734062004082853e+01 | 1
   15 |   1.1106471290186461e+01 |   1.1106471290186461e+01 | 1
   16 |   1.1084678755775212e+01 |   1.1084678755775212e+01 | 1
   17 |   1.0972843174510919e+01 |   1.0972843174510919e+01 | 1
   18 |   1.1105103687470747e+01 |   1.1105103687470747e+01 | 1
   19 |   1.0887142936371740e+01 |   1.0887142936371740e+01 | 1
   20 |   1.1086202771085269e+01 |   1.1086202771085269e+01 | 1
   21 |   1.0866973331079313e+01 |   1.0866973331079313e+01 | 1
   22 |   1.1429706503146011e+01 |   1.1429706503146011e+01 | 1
   23 |   1.0991696922933821e+01 |   1.0991696922933821e+01 | 1
   24 |   1.1197750955025091e+01 |   1.1197750955025091e+01 | 1
   25 |   1.1122759706781764e+01 |   1.1122759706781764e+01 | 1
   26 |   1.1046711757670870e+01 |   1.1046711757670870e+01 | 1
   27 |   1.1782803954706885e+01 |   1.1782803954706885e+01 | 1
   28 |   1.1338045084992675e+01 |   1.1338045084992675e+01 | 1
   29 |   1.1009173922732550e+01 |   1.1009173922732550e+01 | 1
   30 |   1.1400472434621713e+01 |   1.1400472434621713e+01 | 1
   31 |   1.1436007236234198e+01 |   1.1436007236234198e+01 | 1
   32 |   7.5219482188558714e-02 |   7.5219482188558714e-02 | 1
   33 |  -3.1411233184815196e-01 |  -3.1411233184815196e-01 | 1
   34 |   1.1355751645617593e+01 |   1.1355751645617593e+01 | 1
   35 |   2.0742865442889175e-01 |   2.0742865442889175e-01 | 1
   36 |   3.7757646912219589e-01 |   3.7757646912219589e-01 | 1
   37 |   5.8865925547481157e-01 |   5.8865925547481157e-01 | 1
   38 |   1.0842508660659305e+00 |   1.0842508660659305e+00 | 1
   39 |   1.5286092628671371e-03 |   1.5286092628671371e-03 | 1
   40 |  -4.7577694500332010e-03 |  -4.7577694500332010e-03 | 1
   41 |  -9.9079354706758982e-06 |  -9.9079354706758982e-06 | 1
   42 |   1.0871947023694906e+01 |   1.0871947023694906e+01 | 1
   43 |   2.5825327579214741e-01 |   2.5825327579214741e-01 | 1
