index | b_base                   | b_new                    | equal
    1 |   7.5219482188558714e-02 |   7.5219482188558714e-02 | 1
    2 |   3.6867192758938544e-03 |   3.6867192758938544e-03 | 1
    3 |   7.7048162676284726e-02 |   7.7048162676284726e-02 | 1
    4 |   2.7418495106115423e-02 |   2.7418495106115423e-02 | 1
    5 |   9.0785565443309527e-02 |   9.0785565443309527e-02 | 1
    6 |   4.7566268137267213e-02 |   4.7566268137267213e-02 | 1
    7 |   4.4863211883844074e-02 |   4.4863211883844074e-02 | 1
    8 |   8.8892980000665686e-02 |   8.8892980000665686e-02 | 1
    9 |   4.9928082383936520e-02 |   4.9928082383936520e-02 | 1
   10 |  -8.5741477044402173e-02 |  -8.5741477044402173e-02 | 1
   11 |  -1.1229605670315390e-04 |  -1.1229605670315390e-04 | 1
   12 |   1.8172096813163940e-01 |   1.8172096813163940e-01 | 1
   13 |   1.4104995504322651e-01 |   1.4104995504322651e-01 | 1
   14 |   2.4071605783316727e-02 |   2.4071605783316727e-02 | 1
   15 |   3.0916909584115262e-02 |   3.0916909584115262e-02 | 1
   16 |   6.6045844798635775e-02 |   6.6045844798635775e-02 | 1
   17 |   2.4501186661391484e-02 |   2.4501186661391484e-02 | 1
   18 |   9.2965346440475133e-02 |   9.2965346440475133e-02 | 1
   19 |   3.0438197581300952e-02 |   3.0438197581300952e-02 | 1
   20 |   9.9300868191336183e-02 |   9.9300868191336183e-02 | 1
   21 |  -7.7460560694841765e-02 |  -7.7460560694841765e-02 | 1
   22 |   6.0123649917439514e-02 |   6.0123649917439514e-02 | 1
   23 |  -4.6004625894632556e-03 |  -4.6004625894632556e-03 | 1
   24 |   1.8955213264451827e-02 |   1.8955213264451827e-02 | 1
   25 |   4.2842811891944291e-02 |   4.2842811891944291e-02 | 1
   26 |  -1.8837282457426779e-01 |  -1.8837282457426779e-01 | 1
   27 |  -4.8668578898188819e-02 |  -4.8668578898188819e-02 | 1
   28 |   5.4633908756950934e-02 |   5.4633908756950934e-02 | 1
   29 |  -6.8277779261265867e-02 |  -6.8277779261265867e-02 | 1
   30 |  -7.9439698657524996e-02 |  -7.9439698657524996e-02 | 1
