index | b_base                   | b_new                    | equal
    1 |   1.0466148157324676e+01 |   1.0466148157324676e+01 | 1
    2 |   1.0482978095567644e+01 |   1.0482978095567644e+01 | 1
    3 |   1.0704687184819781e+01 |   1.0704687184819781e+01 | 1
    4 |   1.0461293823152822e+01 |   1.0461293823152822e+01 | 1
    5 |   1.0606032793652579e+01 |   1.0606032793652579e+01 | 1
    6 |   1.0354773828377992e+01 |   1.0354773828377992e+01 | 1
    7 |   1.0275318503039752e+01 |   1.0275318503039752e+01 | 1
    8 |   1.0515874459652709e+01 |   1.0515874459652709e+01 | 1
    9 |   1.0356799055879062e+01 |   1.0356799055879062e+01 | 1
   10 |   1.0470632395945806e+01 |   1.0470632395945806e+01 | 1
   11 |   1.1282896984143411e+01 |   1.1282896984143411e+01 | 1
   12 |   1.0667135196622418e+01 |   1.0667135196622418e+01 | 1
   13 |   1.0249807235137160e+01 |   1.0249807235137160e+01 | 1
   14 |   1.0164798691444652e+01 |   1.0164798691444652e+01 | 1
   15 |   1.0464268657242627e+01 |   1.0464268657242627e+01 | 1
   16 |   1.0533819382041358e+01 |   1.0533819382041358e+01 | 1
   17 |   1.0541368388259292e+01 |   1.0541368388259292e+01 | 1
   18 |   1.0631600076579414e+01 |   1.0631600076579414e+01 | 1
   19 |   1.0445039898638093e+01 |   1.0445039898638093e+01 | 1
   20 |   1.0519764080413442e+01 |   1.0519764080413442e+01 | 1
   21 |   1.0455616565283657e+01 |   1.0455616565283657e+01 | 1
   22 |   1.0905919656699353e+01 |   1.0905919656699353e+01 | 1
   23 |   1.0536861987247471e+01 |   1.0536861987247471e+01 | 1
   24 |   1.0666203086131896e+01 |   1.0666203086131896e+01 | 1
   25 |   1.0651749006606936e+01 |   1.0651749006606936e+01 | 1
   26 |   1.0565790986325139e+01 |   1.0565790986325139e+01 | 1
   27 |   1.0949750246077134e+01 |   1.0949750246077134e+01 | 1
   28 |   1.0746495672419881e+01 |   1.0746495672419881e+01 | 1
   29 |   1.0538895120191601e+01 |   1.0538895120191601e+01 | 1
   30 |   1.0786323074226049e+01 |   1.0786323074226049e+01 | 1
   31 |   1.0770552010817148e+01 |   1.0770552010817148e+01 | 1
   32 |   5.4219537299863417e-02 |   5.4219537299863417e-02 | 1
   33 |  -4.4689867814688206e-01 |  -4.4689867814688206e-01 | 1
   34 |   1.0769585809963280e+01 |   1.0769585809963280e+01 | 1
   35 |   1.8472312829454690e-01 |   1.8472312829454690e-01 | 1
   36 |   3.2199427861143215e-01 |   3.2199427861143215e-01 | 1
   37 |   4.6144315737861263e-01 |   4.6144315737861263e-01 | 1
   38 |   8.9964698059200177e-01 |   8.9964698059200177e-01 | 1
   39 |   7.1125841069057489e-03 |   7.1125841069057489e-03 | 1
   40 |   7.6993143333103017e-02 |   7.6993143333103017e-02 | 1
   41 |   5.7138816986023722e-05 |   5.7138816986023722e-05 | 1
   42 |   2.2021160003344701e-02 |   2.2021160003344701e-02 | 1
   43 |   2.3586314626740496e-03 |   2.3586314626740496e-03 | 1
   44 |   1.0445250288671913e+01 |   1.0445250288671913e+01 | 1
   45 |   1.3181246125221302e-01 |   1.3181246125221302e-01 | 1
