index | b_base                   | b_new                    | equal
    1 |   5.4219537299863417e-02 |   5.4219537299863417e-02 | 1
    2 |  -4.4861961620065678e-02 |  -4.4861961620065678e-02 | 1
    3 |   6.3910209978624205e-02 |   6.3910209978624205e-02 | 1
    4 |  -7.7344461405787907e-04 |  -7.7344461405787907e-04 | 1
    5 |   1.1151385483970855e-01 |   1.1151385483970855e-01 | 1
    6 |   1.4702233470509815e-01 |   1.4702233470509815e-01 | 1
    7 |   3.9518195674409194e-02 |   3.9518195674409194e-02 | 1
    8 |   1.1060878334653360e-01 |   1.1060878334653360e-01 | 1
    9 |   5.9736814141661113e-02 |   5.9736814141661113e-02 | 1
   10 |  -3.0326315662937015e-01 |  -3.0326315662937015e-01 | 1
   11 |  -2.8080027732876968e-02 |  -2.8080027732876968e-02 | 1
   12 |   1.5842328660861768e-01 |   1.5842328660861768e-01 | 1
   13 |   1.9641349241599101e-01 |   1.9641349241599101e-01 | 1
   14 |   6.2580760556183945e-02 |   6.2580760556183945e-02 | 1
   15 |   3.1498633579473578e-02 |   3.1498633579473578e-02 | 1
   16 |   2.8124992679356392e-02 |   2.8124992679356392e-02 | 1
   17 |  -1.2199429557867576e-02 |  -1.2199429557867576e-02 | 1
   18 |   7.1174067358955623e-02 |   7.1174067358955623e-02 | 1
   19 |   3.7779929297945117e-02 |   3.7779929297945117e-02 | 1
   20 |   6.6447369015852853e-02 |   6.6447369015852853e-02 | 1
   21 |  -1.3479248730327639e-01 |  -1.3479248730327639e-01 | 1
   22 |   3.0138897334738662e-02 |   3.0138897334738662e-02 | 1
   23 |  -2.7663468786775745e-02 |  -2.7663468786775745e-02 | 1
   24 |  -2.1203959753241346e-02 |  -2.1203959753241346e-02 | 1
   25 |   1.7210565886816763e-02 |   1.7210565886816763e-02 | 1
   26 |  -1.5438031975860511e-01 |  -1.5438031975860511e-01 | 1
   27 |  -6.3546119463870843e-02 |  -6.3546119463870843e-02 | 1
   28 |   2.9230292909510340e-02 |   2.9230292909510340e-02 | 1
   29 |  -8.1344932685071925e-02 |  -8.1344932685071925e-02 | 1
   30 |  -7.4296865294663728e-02 |  -7.4296865294663728e-02 | 1
