index | b_base                   | b_new                    | equal
    1 |   1.3921431517050841e+01 |   1.3921431517050841e+01 | 1
    2 |   1.4166317603892264e+01 |   1.4166317603892264e+01 | 1
    3 |   1.3639480349408075e+01 |   1.3639480349408075e+01 | 1
    4 |   1.4216086393954985e+01 |   1.4216086393954985e+01 | 1
    5 |   1.4234222094544815e+01 |   1.4234222094544815e+01 | 1
    6 |   1.4753911227676454e+01 |   1.4753911227676454e+01 | 1
    7 |   1.4377983383115078e+01 |   1.4377983383115078e+01 | 1
    8 |   1.7063759226304837e-01 |   1.7063759226304837e-01 | 1
    9 |  -5.3378625690561321e-01 |  -5.3378625690561321e-01 | 1
   10 |   1.5026864540453074e+01 |   1.5026864540453074e+01 | 1
   11 |   1.5968553891339138e-01 |   1.5968553891339138e-01 | 1
   12 |   3.9662484639107926e-01 |   3.9662484639107926e-01 | 1
   13 |  -6.0405708078512622e-02 |  -6.0405708078512622e-02 | 1
   14 |  -4.1222887130550192e-05 |  -4.1222887130550192e-05 | 1
   15 |   1.4057665141802662e+01 |   1.4057665141802662e+01 | 1
   16 |   4.7586285239560017e-01 |   4.7586285239560017e-01 | 1
