index | b_base                   | b_new                    | equal
    1 |   1.3999038196011282e+01 |   1.3999038196011282e+01 | 1
    2 |   1.4145916237093449e+01 |   1.4145916237093449e+01 | 1
    3 |   1.4125077362680448e+01 |   1.4125077362680448e+01 | 1
    4 |   1.4084770880084360e+01 |   1.4084770880084360e+01 | 1
    5 |   1.4402719705898125e+01 |   1.4402719705898125e+01 | 1
    6 |   1.4719170940115939e+01 |   1.4719170940115939e+01 | 1
    7 |   1.4678647992371662e+01 |   1.4678647992371662e+01 | 1
    8 |   4.5005764668011611e-01 |   4.5005764668011611e-01 | 1
    9 |  -1.2808766977458403e+00 |  -1.2808766977458403e+00 | 1
   10 |   1.3312844637225652e+01 |   1.3312844637225652e+01 | 1
   11 |   1.4222372010346607e+01 |   1.4222372010346607e+01 | 1
   12 |   1.8673094273121352e-01 |   1.8673094273121352e-01 | 1
