index | b_base                   | b_new                    | equal
    1 |   1.3643825436792397e+01 |   1.3643825436792397e+01 | 1
    2 |   1.3845583918310675e+01 |   1.3845583918310675e+01 | 1
    3 |   1.3632516586154180e+01 |   1.3632516586154180e+01 | 1
    4 |   1.3837145375456631e+01 |   1.3837145375456631e+01 | 1
    5 |   1.3823702975270747e+01 |   1.3823702975270747e+01 | 1
    6 |   1.4399413579044179e+01 |   1.4399413579044179e+01 | 1
    7 |   1.3878186329023928e+01 |   1.3878186329023928e+01 | 1
    8 |   1.1936713817123924e-01 |   1.1936713817123924e-01 | 1
    9 |  -6.9041785442750514e-01 |  -6.9041785442750514e-01 | 1
   10 |   1.4856131490066833e+01 |   1.4856131490066833e+01 | 1
   11 |   1.5157045651902235e-01 |   1.5157045651902235e-01 | 1
   12 |   3.8831364607736624e-01 |   3.8831364607736624e-01 | 1
   13 |   2.1683881907259739e-03 |   2.1683881907259739e-03 | 1
   14 |   3.0299965367565871e-06 |   3.0299965367565871e-06 | 1
   15 |  -5.0360948082938317e-03 |  -5.0360948082938317e-03 | 1
   16 |   4.6784423139384582e-03 |   4.6784423139384582e-03 | 1
   17 |   1.3769542980305671e+01 |   1.3769542980305671e+01 | 1
   18 |   3.8550304814394543e-01 |   3.8550304814394543e-01 | 1
