index | b_base                   | b_new                    | equal
    1 |   1.3905640380904609e+01 |   1.3905640380904609e+01 | 1
    2 |   1.4227275559915403e+01 |   1.4227275559915403e+01 | 1
    3 |   1.8507102391133802e+02 |   1.8507102391133802e+02 | 1
    4 |   1.4031539958467159e+01 |   1.4031539958467159e+01 | 1
    5 |   1.4284915534906133e+01 |   1.4284915534906133e+01 | 1
    6 |   1.4887536033556962e+01 |   1.4887536033556962e+01 | 1
    7 |   1.4379063020233634e+01 |   1.4379063020233634e+01 | 1
    8 |   1.5862327470462684e-01 |   1.5862327470462684e-01 | 1
    9 |  -7.0377087576753017e-01 |  -7.0377087576753017e-01 | 1
   10 |   1.5799543688550095e+01 |   1.5799543688550095e+01 | 1
   11 |   1.2105013912773353e-01 |   1.2105013912773353e-01 | 1
   12 |   3.3890363462747070e-01 |   3.3890363462747070e-01 | 1
   13 |  -1.0714644880263127e-01 |  -1.0714644880263127e-01 | 1
   14 |   1.4096556405146309e+01 |   1.4096556405146309e+01 | 1
   15 |   5.9502094825591945e-01 |   5.9502094825591945e-01 | 1
