cell,n_old,n_new,n_unmatched,n_vars_diffing,outcome_diff_n,vars_only_old,vars_only_new,verdict
chn_bal,56852,56852,0,0,0,lndepvar,logpc_consumption,PASS
chn_bal_2waves,56852,56852,0,0,0,lndepvar,logpc_consumption,PASS
chn_bal_3waves,56852,56852,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_rural_first_bal,42404,42404,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_rural_first_unb,80742,80742,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_rural_first_unb_income,25757,25757,0,0,0,lndepvar,logpc_income,PASS
chn_hukou_rural_only_bal,39568,39568,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_rural_only_unb,75748,75748,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_rural_only_unb_income,23481,23481,0,0,0,lndepvar,logpc_income,PASS
chn_hukou_urban_first_bal,14364,14364,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_urban_first_unb,28264,28264,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_urban_first_unb_income,15568,15568,0,0,0,lndepvar,logpc_income,PASS
chn_hukou_urban_only_bal,13336,13336,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_urban_only_unb,26155,26155,0,0,0,lndepvar,logpc_consumption,PASS
chn_hukou_urban_only_unb_income,14554,14554,0,0,0,lndepvar,logpc_income,PASS
chn_unb,109535,109535,0,0,0,lndepvar,logpc_consumption,PASS
chn_unb_2waves,109535,109535,0,0,0,lndepvar,logpc_consumption,PASS
chn_unb_3waves,109535,109535,0,0,0,lndepvar,logpc_consumption,PASS
chn_unb_income,41406,41406,0,0,0,lndepvar,logpc_income,PASS
idn_bal,16275,16275,0,0,0,lndepvar,logpc_consumption,PASS
idn_bal_2waves,16275,16275,0,0,0,lndepvar,logpc_consumption,PASS
idn_bal_3waves,16275,16275,0,0,0,lndepvar,logpc_consumption,PASS
idn_unb,93038,93038,0,0,0,lndepvar,logpc_consumption,PASS
idn_unb_2waves,93038,93038,0,0,0,lndepvar,logpc_consumption,PASS
idn_unb_3waves,93038,93038,0,0,0,lndepvar,logpc_consumption,PASS
idn_unb_income,58047,58047,0,0,0,lndepvar,logpc_income,PASS
idn_unb_nonag,69685,69685,0,0,0,lndepvar,logpc_consumption,PASS
tza_bal,23526,23526,0,0,0,lndepvar,logpc_consumption,PASS
tza_bal_2waves,23526,23526,0,0,0,lndepvar,logpc_consumption,PASS
tza_bal_3waves,23526,23526,0,0,0,lndepvar,logpc_consumption,PASS
tza_unb,29864,29864,0,0,0,lndepvar,logpc_consumption,PASS
tza_unb_2waves,29864,29864,0,0,0,lndepvar,logpc_consumption,PASS
tza_unb_3waves,29864,29864,0,0,0,lndepvar,logpc_consumption,PASS
tza_unb_income,9339,9339,0,0,0,lndepvar,logpc_income,PASS
