cell,n_before,n_dropped_missing_logpc,n_after
chn_bal,56852,0,56852
chn_bal_2waves,56852,0,56852
chn_bal_3waves,56852,0,56852
chn_hukou_rural_first_bal,42404,0,42404
chn_hukou_rural_first_unb,80742,0,80742
chn_hukou_rural_first_unb_income,25757,129,25628
chn_hukou_rural_only_bal,39568,0,39568
chn_hukou_rural_only_unb,75748,0,75748
chn_hukou_rural_only_unb_income,23481,119,23362
chn_hukou_urban_first_bal,14364,0,14364
chn_hukou_urban_first_unb,28264,0,28264
chn_hukou_urban_first_unb_income,15568,52,15516
chn_hukou_urban_only_bal,13336,0,13336
chn_hukou_urban_only_unb,26155,0,26155
chn_hukou_urban_only_unb_income,14554,48,14506
chn_unb,109535,0,109535
chn_unb_2waves,109535,0,109535
chn_unb_3waves,109535,0,109535
chn_unb_income,41406,182,41224
idn_bal,16275,0,16275
idn_bal_2waves,16275,0,16275
idn_bal_3waves,16275,0,16275
idn_unb,93038,588,92450
idn_unb_2waves,93038,588,92450
idn_unb_3waves,93038,588,92450
idn_unb_income,58047,1015,57032
idn_unb_nonag,69685,238,69447
tza_bal,23526,0,23526
tza_bal_2waves,23526,0,23526
tza_bal_3waves,23526,0,23526
tza_unb,29864,0,29864
tza_unb_2waves,29864,0,29864
tza_unb_3waves,29864,0,29864
tza_unb_income,9339,0,9339
