index | b_base                   | b_new                    | equal
    1 |   9.5456048303336691e-02 |   9.5456048303336691e-02 | 1
    2 |   7.7053859708741221e-02 |   7.7053859708741221e-02 | 1
    3 |   7.6032365211493758e-02 |   7.6032365211493758e-02 | 1
    4 |   1.1668111615716643e-01 |   1.1668111615716643e-01 | 1
    5 |   1.7178843428727697e-01 |   1.7178843428727697e-01 | 1
    6 |   5.0594644766277466e-02 |   5.0594644766277466e-02 | 1
    7 |   1.1853883455210297e-01 |   1.1853883455210297e-01 | 1
    8 |   9.9463996380671105e-02 |   9.9463996380671105e-02 | 1
    9 |   5.9034504164625218e-02 |   5.9034504164625218e-02 | 1
   10 |  -2.4177468851572237e-02 |  -2.4177468851572237e-02 | 1
   11 |   2.7204058957396568e-02 |   2.7204058957396568e-02 | 1
   12 |   8.3583405047815820e-02 |   8.3583405047815820e-02 | 1
