index | b_base                   | b_new                    | equal
    1 |   9.2256611061692411e+00 |   9.2256611061692411e+00 | 1
    2 |   9.2255092139496551e+00 |   9.2255092139496551e+00 | 1
    3 |   9.3432416323344540e+00 |   9.3432416323344540e+00 | 1
    4 |   9.3327223402316797e+00 |   9.3327223402316797e+00 | 1
    5 |   9.0172404889245001e+00 |   9.0172404889245001e+00 | 1
    6 |   8.8594728371593821e+00 |   8.8594728371593821e+00 | 1
    7 |   9.6626313038396052e+00 |   9.6626313038396052e+00 | 1
    8 |   9.1139648094656227e+00 |   9.1139648094656227e+00 | 1
    9 |   9.2415326773046615e+00 |   9.2415326773046615e+00 | 1
   10 |   9.4333491144211941e+00 |   9.4333491144211941e+00 | 1
   11 |   9.9877301322615768e+00 |   9.9877301322615768e+00 | 1
   12 |   9.5765719569380288e+00 |   9.5765719569380288e+00 | 1
   13 |   9.2927556191233780e+00 |   9.2927556191233780e+00 | 1
   14 |   9.9965999664725733e-02 |   9.9965999664725733e-02 | 1
   15 |  -2.3141363022384140e-01 |  -2.3141363022384140e-01 | 1
   16 |   9.5402474604524006e+00 |   9.5402474604524006e+00 | 1
   17 |   3.0396620408853392e-01 |   3.0396620408853392e-01 | 1
   18 |   5.5182069066705586e-01 |   5.5182069066705586e-01 | 1
   19 |   7.7279770930000180e-01 |   7.7279770930000180e-01 | 1
   20 |   6.4174417758016800e-02 |   6.4174417758016800e-02 | 1
   21 |  -4.0310222868204338e-05 |  -4.0310222868204338e-05 | 1
   22 |   1.6486462149468726e-02 |   1.6486462149468726e-02 | 1
   23 |   1.9634288667502767e-03 |   1.9634288667502767e-03 | 1
   24 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
