index | b_base                   | b_new                    | equal
    1 |   9.9965999664725733e-02 |   9.9965999664725733e-02 | 1
    2 |   7.2721113331267268e-02 |   7.2721113331267268e-02 | 1
    3 |   7.5155420904155279e-02 |   7.5155420904155279e-02 | 1
    4 |   1.4816222138488783e-01 |   1.4816222138488783e-01 | 1
    5 |   1.8467180641174466e-01 |   1.8467180641174466e-01 | 1
    6 |  -1.1900100077399528e-03 |  -1.1900100077399528e-03 | 1
    7 |   1.2577889523753219e-01 |   1.2577889523753219e-01 | 1
    8 |   9.6257951840984984e-02 |   9.6257951840984984e-02 | 1
    9 |   5.1869013791245006e-02 |   5.1869013791245006e-02 | 1
   10 |  -7.6422310074386143e-02 |  -7.6422310074386143e-02 | 1
   11 |   1.8725295873446748e-02 |   1.8725295873446748e-02 | 1
   12 |   8.4404264923971198e-02 |   8.4404264923971198e-02 | 1
