index | b_base                   | b_new                    | equal
    1 |   9.6190512374252454e-02 |   9.6190512374252454e-02 | 1
    2 |   7.9051098308953155e-02 |   7.9051098308953155e-02 | 1
    3 |   8.2727241178960464e-02 |   8.2727241178960464e-02 | 1
    4 |   9.6488263420102915e-02 |   9.6488263420102915e-02 | 1
    5 |   1.2833386524578061e-01 |   1.2833386524578061e-01 | 1
    6 |   5.0472380013556362e-02 |   5.0472380013556362e-02 | 1
    7 |   1.1193125852813693e-01 |   1.1193125852813693e-01 | 1
    8 |   9.7391826083027835e-02 |   9.7391826083027835e-02 | 1
    9 |   7.0492033931807252e-02 |   7.0492033931807252e-02 | 1
   10 |   3.1590154394467815e-02 |   3.1590154394467815e-02 | 1
   11 |   5.4684933210836034e-02 |   5.4684933210836034e-02 | 1
   12 |   9.1687610594755220e-02 |   9.1687610594755220e-02 | 1
