index | b_base                   | b_new                    | equal
    1 |   8.2523769617792342e-02 |   8.2523769617792342e-02 | 1
    2 |   7.0110084414435669e-02 |   7.0110084414435669e-02 | 1
    3 |   7.2441472281639274e-02 |   7.2441472281639274e-02 | 1
    4 |   8.2587818807956362e-02 |   8.2587818807956362e-02 | 1
    5 |   1.0504776921595226e-01 |   1.0504776921595226e-01 | 1
    6 |   4.8882477901629369e-02 |   4.8882477901629369e-02 | 1
    7 |   9.3369603078030189e-02 |   9.3369603078030189e-02 | 1
    8 |   8.3326152075943211e-02 |   8.3326152075943211e-02 | 1
    9 |   6.3578672324536650e-02 |   6.3578672324536650e-02 | 1
   10 |   3.6963702228682185e-02 |   3.6963702228682185e-02 | 1
   11 |   5.2289355701356913e-02 |   5.2289355701356913e-02 | 1
   12 |   7.8880276221725873e-02 |   7.8880276221725873e-02 | 1
