index | b_base                   | b_new                    | equal
    1 |   9.1926322275250740e+00 |   9.1926322275250740e+00 | 1
    2 |   9.2066180637911543e+00 |   9.2066180637911543e+00 | 1
    3 |   9.3345253706956246e+00 |   9.3345253706956246e+00 | 1
    4 |   9.3169694388738957e+00 |   9.3169694388738957e+00 | 1
    5 |   9.0339412277885636e+00 |   9.0339412277885636e+00 | 1
    6 |   8.8747336520159372e+00 |   8.8747336520159372e+00 | 1
    7 |   9.6737426387646650e+00 |   9.6737426387646650e+00 | 1
    8 |   9.0907409390339637e+00 |   9.0907409390339637e+00 | 1
    9 |   9.2209535710713677e+00 |   9.2209535710713677e+00 | 1
   10 |   9.4288431294758102e+00 |   9.4288431294758102e+00 | 1
   11 |   9.9565036116406525e+00 |   9.9565036116406525e+00 | 1
   12 |   9.5600992562670335e+00 |   9.5600992562670335e+00 | 1
   13 |   9.2697402555494008e+00 |   9.2697402555494008e+00 | 1
   14 |   9.5059647127934507e-02 |   9.5059647127934507e-02 | 1
   15 |  -2.0548369134299013e-01 |  -2.0548369134299013e-01 | 1
   16 |   9.5101268139399338e+00 |   9.5101268139399338e+00 | 1
   17 |   2.8837380683913261e-01 |   2.8837380683913261e-01 | 1
   18 |   5.4330728417393903e-01 |   5.4330728417393903e-01 | 1
   19 |   7.6698858943095682e-01 |   7.6698858943095682e-01 | 1
   20 |   6.3870249050771682e-02 |   6.3870249050771682e-02 | 1
   21 |  -2.3425435241337515e-05 |  -2.3425435241337515e-05 | 1
   22 |   1.8220495894932017e-02 |   1.8220495894932017e-02 | 1
   23 |   1.6751977694928950e-03 |   1.6751977694928950e-03 | 1
   24 |   9.1789991282559065e+00 |   9.1789991282559065e+00 | 1
   25 |   2.8847412832821406e-01 |   2.8847412832821406e-01 | 1
