index | b_base                   | b_new                    | equal
    1 |   9.3183870625985357e+00 |   9.3183870625985357e+00 | 1
    2 |   9.4231729133265070e+00 |   9.4231729133265070e+00 | 1
    3 |   9.5630938508283094e+00 |   9.5630938508283094e+00 | 1
    4 |   9.5442682008247193e+00 |   9.5442682008247193e+00 | 1
    5 |   9.3771447326159798e+00 |   9.3771447326159798e+00 | 1
    6 |   9.1832675443472045e+00 |   9.1832675443472045e+00 | 1
    7 |   9.8143546944821729e+00 |   9.8143546944821729e+00 | 1
    8 |   9.2997778578604517e+00 |   9.2997778578604517e+00 | 1
    9 |   9.4220047634435140e+00 |   9.4220047634435140e+00 | 1
   10 |   9.6671633109391735e+00 |   9.6671633109391735e+00 | 1
   11 |   9.8896223640048380e+00 |   9.8896223640048380e+00 | 1
   12 |   9.6724941048368844e+00 |   9.6724941048368844e+00 | 1
   13 |   9.4349488936625914e+00 |   9.4349488936625914e+00 | 1
   14 |   8.7266278485497603e-02 |   8.7266278485497603e-02 | 1
   15 |   1.2935992615426073e-01 |   1.2935992615426073e-01 | 1
   16 |   9.5011597405659209e+00 |   9.5011597405659209e+00 | 1
   17 |   3.0628454951574480e-01 |   3.0628454951574480e-01 | 1
   18 |   5.4087936612984144e-01 |   5.4087936612984144e-01 | 1
   19 |   7.6632120709611795e-01 |   7.6632120709611795e-01 | 1
   20 |   9.3621474235032416e+00 |   9.3621474235032416e+00 | 1
   21 |   2.4708722104034686e-01 |   2.4708722104034686e-01 | 1
