index | b_base                   | b_new                    | equal
    1 |   1.0362219332504917e+01 |   1.0362219332504917e+01 | 1
    2 |   1.0433065460479694e+01 |   1.0433065460479694e+01 | 1
    3 |   1.0430646099894341e+01 |   1.0430646099894341e+01 | 1
    4 |   1.0433349330527768e+01 |   1.0433349330527768e+01 | 1
    5 |   1.0431007487916425e+01 |   1.0431007487916425e+01 | 1
    6 |   1.0439940954882394e+01 |   1.0439940954882394e+01 | 1
    7 |   1.0429626627984200e+01 |   1.0429626627984200e+01 | 1
    8 |   1.0435759422383139e+01 |   1.0435759422383139e+01 | 1
    9 |   1.0431671698910833e+01 |   1.0431671698910833e+01 | 1
   10 |   1.0430076638773679e+01 |   1.0430076638773679e+01 | 1
   11 |   1.0433031512912102e+01 |   1.0433031512912102e+01 | 1
   12 |   1.0430793866455828e+01 |   1.0430793866455828e+01 | 1
   13 |   1.0432236593553395e+01 |   1.0432236593553395e+01 | 1
   14 |   1.0429526257467664e+01 |   1.0429526257467664e+01 | 1
   15 |   1.0430578156801447e+01 |   1.0430578156801447e+01 | 1
   16 |   1.0434252003046275e+01 |   1.0434252003046275e+01 | 1
   17 |   1.0430304054173607e+01 |   1.0430304054173607e+01 | 1
   18 |   1.0433027944927055e+01 |   1.0433027944927055e+01 | 1
   19 |   1.0456930317388988e+01 |   1.0456930317388988e+01 | 1
   20 |   1.0433372851438090e+01 |   1.0433372851438090e+01 | 1
   21 |   1.0427543119148119e+01 |   1.0427543119148119e+01 | 1
   22 |   1.0429968354819264e+01 |   1.0429968354819264e+01 | 1
   23 |   1.0426360604700989e+01 |   1.0426360604700989e+01 | 1
   24 |   1.0434003676038243e+01 |   1.0434003676038243e+01 | 1
   25 |   1.0434537364374275e+01 |   1.0434537364374275e+01 | 1
   26 |   1.0435234101665051e+01 |   1.0435234101665051e+01 | 1
   27 |   1.0430755062850515e+01 |   1.0430755062850515e+01 | 1
   28 |   1.0433454618722463e+01 |   1.0433454618722463e+01 | 1
   29 |   1.0433343137761732e+01 |   1.0433343137761732e+01 | 1
   30 |   1.0432904068563918e+01 |   1.0432904068563918e+01 | 1
   31 |   1.0434188773140573e+01 |   1.0434188773140573e+01 | 1
   32 |   6.2339419505299559e-02 |   6.2339419505299559e-02 | 1
   33 |   5.3730303935740103e+01 |   5.3730303935740103e+01 | 1
   34 |   1.0434772382880588e+01 |   1.0434772382880588e+01 | 1
   35 |   2.7435226555180137e-01 |   2.7435226555180137e-01 | 1
   36 |   4.4234157382973316e-01 |   4.4234157382973316e-01 | 1
   37 |   6.0266740345746250e-01 |   6.0266740345746250e-01 | 1
   38 |   1.0592275449012907e+00 |   1.0592275449012907e+00 | 1
   39 |   5.6284947232052941e-02 |   5.6284947232052941e-02 | 1
   40 |   7.8036972468765003e-05 |   7.8036972468765003e-05 | 1
   41 |   2.0390684626682726e-02 |   2.0390684626682726e-02 | 1
   42 |   2.1081015801239994e-03 |   2.1081015801239994e-03 | 1
   43 |   1.0305832455901523e+01 |   1.0305832455901523e+01 | 1
   44 |   2.0120364865063040e-01 |   2.0120364865063040e-01 | 1
