index | b_base                   | b_new                    | equal
    1 |   1.3817611693609921e+01 |   1.3817611693609921e+01 | 1
    2 |   1.4079331008284276e+01 |   1.4079331008284276e+01 | 1
    3 |   1.3477674602119476e+01 |   1.3477674602119476e+01 | 1
    4 |   1.4156784511579659e+01 |   1.4156784511579659e+01 | 1
    5 |   1.4122274847253761e+01 |   1.4122274847253761e+01 | 1
    6 |   1.4680694058628323e+01 |   1.4680694058628323e+01 | 1
    7 |   1.4283413803575007e+01 |   1.4283413803575007e+01 | 1
    8 |   1.6429817001201136e-01 |   1.6429817001201136e-01 | 1
    9 |  -5.0076153441126259e-01 |  -5.0076153441126259e-01 | 1
   10 |   1.4891038508019221e+01 |   1.4891038508019221e+01 | 1
   11 |   1.5273153142797830e-01 |   1.5273153142797830e-01 | 1
   12 |   3.9105405856005493e-01 |   3.9105405856005493e-01 | 1
   13 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
